scenario,section,source_name,metric,source,n_points_curve,n_runs_min,n_runs_max,curve_mean_of_mean,curve_std_of_mean,curve_min_of_mean,curve_q10_of_mean,curve_q25_of_mean,curve_median_of_mean,curve_q75_of_mean,curve_q90_of_mean,curve_max_of_mean,curve_range_of_mean,curve_iqr_of_mean,curve_cv_of_mean,curve_mean_of_std,curve_std_of_std,curve_max_of_std,curve_mean_iqr_width,curve_std_iqr_width,curve_median_iqr_width,curve_max_iqr_width,curve_mean_p10p90_width,curve_std_p10p90_width,curve_median_p10p90_width,curve_max_p10p90_width
low,sourcestats,servergm,offset_us,aggregated_curve_over_sample_idx,20,15,15,-2.957853,2.749337,-10.250467,-5.30704,-4.111117,-1.902833,-1.131317,-0.875873,-0.4812,9.769267,2.9798,-0.929504,8.510451,7.025293,25.966267,1.094675,1.211765,0.63525,5.1285,7.97115,10.636048,4.7841,43.602
low,sourcestats,servergm,stddev_us,aggregated_curve_over_sample_idx,20,15,15,109.5516,21.837925,78.637067,90.7,95.3,102.4,121.350467,147.406667,154.733333,76.096267,26.050467,0.199339,69.562181,15.093359,112.344739,98.925,24.946931,105.25,134.0,155.63,26.300953,158.3,196.6
