scenario,section,metric,source,n_points_curve,n_runs_min,n_runs_max,curve_mean_of_mean,curve_std_of_mean,curve_min_of_mean,curve_q10_of_mean,curve_q25_of_mean,curve_median_of_mean,curve_q75_of_mean,curve_q90_of_mean,curve_max_of_mean,curve_range_of_mean,curve_iqr_of_mean,curve_cv_of_mean,curve_mean_of_std,curve_std_of_std,curve_max_of_std,curve_mean_iqr_width,curve_std_iqr_width,curve_median_iqr_width,curve_max_iqr_width,curve_mean_p10p90_width,curve_std_p10p90_width,curve_median_p10p90_width,curve_max_p10p90_width
low,tracking,system_time_us,aggregated_curve_over_sample_idx,20,15,15,-25.283567,9.885456,-44.187067,-39.597227,-34.4286,-24.136567,-16.1908,-14.63994,-11.030733,33.156333,18.2378,-0.390983,37.174749,15.153147,73.661927,35.0889,18.021802,29.80125,88.2245,73.45559,31.74784,69.1065,144.5956
low,tracking,last_offset_us,aggregated_curve_over_sample_idx,20,15,15,-35.505123,16.087912,-59.890933,-58.06964,-47.66765,-35.0017,-21.873017,-15.056853,-11.192067,48.698867,25.794633,-0.453115,62.511739,28.146687,116.416282,48.927975,26.836635,41.65,102.595,117.9864,55.835063,117.3678,211.009
