sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-06T01:22:54+00:00,1775438574.0,0.0,0,-4.0951e-05,-40.951,-9.94e-05,-99.4,medium,run06
1,2026-04-06T01:23:55+00:00,1775438635.0,61.0,61,-9.6305e-05,-96.30499999999999,-0.000109146,-109.146,medium,run06
2,2026-04-06T01:24:57+00:00,1775438697.0,123.0,123,-7.4469e-05,-74.469,-0.000109794,-109.794,medium,run06
3,2026-04-06T01:25:59+00:00,1775438759.0,185.0,185,-8.281e-06,-8.281,2.3374e-05,23.374,medium,run06
4,2026-04-06T01:27:00+00:00,1775438820.0,246.0,246,-2.6889e-05,-26.889,-1.7231e-05,-17.231,medium,run06
5,2026-04-06T01:28:02+00:00,1775438882.0,308.0,308,-4.7108e-05,-47.108,-2.7823e-05,-27.823,medium,run06
6,2026-04-06T01:29:03+00:00,1775438943.0,369.0,369,-8.012e-05,-80.12,-5.9099e-05,-59.099,medium,run06
7,2026-04-06T01:30:05+00:00,1775439005.0,431.0,431,-8.4313e-05,-84.313,-0.000183456,-183.456,medium,run06
8,2026-04-06T01:31:06+00:00,1775439066.0,492.0,492,-5.4404e-05,-54.404,-3.4973e-05,-34.973,medium,run06
9,2026-04-06T01:32:08+00:00,1775439128.0,554.0,554,-1.8672e-05,-18.672,-0.000100643,-100.643,medium,run06
10,2026-04-06T01:33:09+00:00,1775439189.0,615.0,615,-3.7198e-05,-37.198,-3.0089e-05,-30.089,medium,run06
11,2026-04-06T01:34:11+00:00,1775439251.0,677.0,677,-1.7923e-05,-17.923000000000002,1.9664e-05,19.664,medium,run06
12,2026-04-06T01:35:12+00:00,1775439312.0,738.0,738,-3.6838e-05,-36.838,3.702e-06,3.702,medium,run06
13,2026-04-06T01:36:14+00:00,1775439374.0,800.0,800,-4.4713e-05,-44.712999999999994,-5.0447e-05,-50.447,medium,run06
14,2026-04-06T01:37:15+00:00,1775439435.0,861.0,861,-4.1545e-05,-41.545,-2.0421e-05,-20.421,medium,run06
15,2026-04-06T01:38:17+00:00,1775439497.0,923.0,923,-0.00011426,-114.25999999999999,-0.000122578,-122.578,medium,run06
16,2026-04-06T01:39:18+00:00,1775439558.0,984.0,984,-2.4527e-05,-24.527,-2.5938e-05,-25.938000000000002,medium,run06
17,2026-04-06T01:40:20+00:00,1775439620.0,1046.0,1046,-2.0662e-05,-20.662,-4.151e-06,-4.151,medium,run06
18,2026-04-06T01:41:21+00:00,1775439681.0,1107.0,1107,8.501e-06,8.501000000000001,-8.604e-06,-8.604,medium,run06
19,2026-04-06T01:42:23+00:00,1775439743.0,1169.0,1169,-1.114e-05,-11.14,-2.0097e-05,-20.097,medium,run06
