sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T12:45:50+00:00,1775393150.0,0.0,0,servergm,-4.7470000000000005e-06,-4.747000000000001,8.4e-05,84.0,medium,run09
1,2026-04-05T12:46:52+00:00,1775393212.0,62.0,62,servergm,-6.480000000000001e-07,-0.6480000000000001,7.8e-05,78.0,medium,run09
2,2026-04-05T12:47:53+00:00,1775393273.0,123.0,123,servergm,-2.137e-06,-2.137,7.8e-05,78.0,medium,run09
3,2026-04-05T12:48:55+00:00,1775393335.0,185.0,185,servergm,-1.56e-06,-1.56,7.999999999999999e-05,80.0,medium,run09
4,2026-04-05T12:49:56+00:00,1775393396.0,246.0,246,servergm,-4.56e-07,-0.456,8.3e-05,83.0,medium,run09
5,2026-04-05T12:50:58+00:00,1775393458.0,308.0,308,servergm,-2.164e-06,-2.164,8.3e-05,83.0,medium,run09
6,2026-04-05T12:51:59+00:00,1775393519.0,369.0,369,servergm,-3.873e-06,-3.873,8.3e-05,83.0,medium,run09
7,2026-04-05T12:53:01+00:00,1775393581.0,431.0,431,servergm,-5.582e-06,-5.582,8.3e-05,83.0,medium,run09
8,2026-04-05T12:54:02+00:00,1775393642.0,492.0,492,servergm,-5.9000000000000006e-08,-0.059000000000000004,8.2e-05,82.0,medium,run09
9,2026-04-05T12:55:04+00:00,1775393704.0,554.0,554,servergm,-5.1e-08,-0.051,9.3e-05,93.0,medium,run09
