sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T12:45:50+00:00,1775393150.0,0.0,0,2e-09,0.002,-1.3128e-05,-13.128,medium,run09
1,2026-04-05T12:46:52+00:00,1775393212.0,62.0,62,-2.5885e-05,-25.885,-3.5188e-05,-35.188,medium,run09
2,2026-04-05T12:47:53+00:00,1775393273.0,123.0,123,1.2e-08,0.012,-3.5188e-05,-35.188,medium,run09
3,2026-04-05T12:48:55+00:00,1775393335.0,185.0,185,-7.2936e-05,-72.93599999999999,-9.0431e-05,-90.431,medium,run09
4,2026-04-05T12:49:56+00:00,1775393396.0,246.0,246,-4.9233e-05,-49.233000000000004,-4.5625e-05,-45.625,medium,run09
5,2026-04-05T12:50:58+00:00,1775393458.0,308.0,308,2.2e-08,0.022,-4.5625e-05,-45.625,medium,run09
6,2026-04-05T12:51:59+00:00,1775393519.0,369.0,369,2.1e-08,0.020999999999999998,-4.5625e-05,-45.625,medium,run09
7,2026-04-05T12:53:01+00:00,1775393581.0,431.0,431,2e-08,0.02,-4.5625e-05,-45.625,medium,run09
8,2026-04-05T12:54:02+00:00,1775393642.0,492.0,492,2.895e-06,2.895,2.889e-06,2.8890000000000002,medium,run09
9,2026-04-05T12:55:04+00:00,1775393704.0,554.0,554,4.9e-08,0.049,1.9441e-05,19.441,medium,run09
