t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
8521.732,299783,358448,-724429,0,726964,0,ptp4l[8521.732]: rms 299783 max 358448 freq -724429 +/-   0 delay 726964 +/-   0,0.0,0,0,low,run12,client
8523.732,152819,214947,-724429,0,630164,0,ptp4l[8523.732]: rms 152819 max 214947 freq -724429 +/-   0 delay 630164 +/-   0,2.0,2,1,low,run12,client
8525.736,276266,353985,-724429,0,619677,24413,ptp4l[8525.736]: rms 276266 max 353985 freq -724429 +/-   0 delay 619677 +/- 24413,4.004000000000815,4,2,low,run12,client
8527.736,225034,246908,-724429,0,667087,10049,ptp4l[8527.736]: rms 225034 max 246908 freq -724429 +/-   0 delay 667087 +/- 10049,6.004000000000815,6,3,low,run12,client
8529.737,194938,269049,-724429,0,630689,24468,ptp4l[8529.737]: rms 194938 max 269049 freq -724429 +/-   0 delay 630689 +/- 24468,8.0049999999992,8,4,low,run12,client
8531.739,86314,91752,-724429,0,546301,0,ptp4l[8531.739]: rms 86314 max 91752 freq -724429 +/-   0 delay 546301 +/-   0,10.006999999999607,10,5,low,run12,client
8533.742,453785,499733,-724429,0,511328,16428,ptp4l[8533.742]: rms 453785 max 499733 freq -724429 +/-   0 delay 511328 +/- 16428,12.010000000000218,12,6,low,run12,client
8535.741,109800,155064,-724429,0,527757,0,ptp4l[8535.741]: rms 109800 max 155064 freq -724429 +/-   0 delay 527757 +/-   0,14.009000000000015,14,7,low,run12,client
8537.743,373979,425334,-659567,15874,494900,0,ptp4l[8537.743]: rms 373979 max 425334 freq -659567 +/- 15874 delay 494900 +/-   0,16.011000000000422,16,8,low,run12,client
8539.744,93231,131767,-681614,6822,494900,0,ptp4l[8539.744]: rms 93231 max 131767 freq -681614 +/- 6822 delay 494900 +/-   0,18.012000000000626,18,9,low,run12,client
8541.746,142616,199959,-663725,8667,501691,26391,ptp4l[8541.746]: rms 142616 max 199959 freq -663725 +/- 8667 delay 501691 +/- 26391,20.013999999999214,20,10,low,run12,client
8543.747,157157,176625,-690849,2018,565754,0,ptp4l[8543.747]: rms 157157 max 176625 freq -690849 +/- 2018 delay 565754 +/-   0,22.014999999999418,22,11,low,run12,client
8545.751,92408,116173,-684287,2786,535008,11710,ptp4l[8545.751]: rms 92408 max 116173 freq -684287 +/- 2786 delay 535008 +/- 11710,24.019000000000233,24,12,low,run12,client
8547.755,212295,295976,-693154,12256,508994,0,ptp4l[8547.755]: rms 212295 max 295976 freq -693154 +/- 12256 delay 508994 +/-   0,26.02299999999923,26,13,low,run12,client
8549.755,221667,313339,-691359,16150,508994,0,ptp4l[8549.755]: rms 221667 max 313339 freq -691359 +/- 16150 delay 508994 +/-   0,28.02299999999923,28,14,low,run12,client
8551.757,28027,34613,-678899,782,480821,2536,ptp4l[8551.757]: rms 28027 max 34613 freq -678899 +/- 782 delay 480821 +/- 2536,30.024999999999636,30,15,low,run12,client
