sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T16:17:13+00:00,1775405833.0,0.0,0,1.699e-06,1.6989999999999998,-0.000323279,-323.279,high,run10
1,2026-04-05T16:18:15+00:00,1775405895.0,62.0,62,-7.3594e-05,-73.594,-7.0221e-05,-70.221,high,run10
2,2026-04-05T16:19:16+00:00,1775405956.0,123.0,123,7e-09,0.007,-7.0221e-05,-70.221,high,run10
3,2026-04-05T16:20:18+00:00,1775406018.0,185.0,185,-2.1038e-05,-21.038,-9.779e-06,-9.779,high,run10
4,2026-04-05T16:21:20+00:00,1775406080.0,247.0,247,-2.0591e-05,-20.591,-5.253e-06,-5.253,high,run10
5,2026-04-05T16:22:21+00:00,1775406141.0,308.0,308,-2.5381e-05,-25.381,-2.0716e-05,-20.716,high,run10
6,2026-04-05T16:23:23+00:00,1775406203.0,370.0,370,-3.1081e-05,-31.081000000000003,-2.6115e-05,-26.115,high,run10
7,2026-04-05T16:24:24+00:00,1775406264.0,431.0,431,-2.1756e-05,-21.756,-2.4417e-05,-24.417,high,run10
8,2026-04-05T16:25:26+00:00,1775406326.0,493.0,493,-4.0452e-05,-40.452,-3.1476e-05,-31.476000000000003,high,run10
9,2026-04-05T16:26:27+00:00,1775406387.0,554.0,554,2.6e-07,0.26,3.6478e-05,36.478,high,run10
