sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T16:17:13+00:00,1775405833.0,0.0,0,servergm,-9.999999999999999e-06,-10.0,0.000148,148.0,high,run10
1,2026-04-05T16:18:15+00:00,1775405895.0,62.0,62,servergm,-1.188e-06,-1.1880000000000002,0.00015199999999999998,151.99999999999997,high,run10
2,2026-04-05T16:19:16+00:00,1775405956.0,123.0,123,servergm,-6.5580000000000006e-06,-6.558000000000001,0.00015199999999999998,151.99999999999997,high,run10
3,2026-04-05T16:20:18+00:00,1775406018.0,185.0,185,servergm,-5.6000000000000005e-08,-0.05600000000000001,0.000129,129.0,high,run10
4,2026-04-05T16:21:20+00:00,1775406080.0,247.0,247,servergm,-1.3e-08,-0.013000000000000001,0.00013099999999999999,131.0,high,run10
5,2026-04-05T16:22:21+00:00,1775406141.0,308.0,308,servergm,-9.600000000000001e-08,-0.09600000000000002,0.000136,136.0,high,run10
6,2026-04-05T16:23:23+00:00,1775406203.0,370.0,370,servergm,-2.4700000000000003e-07,-0.24700000000000003,0.00014199999999999998,141.99999999999997,high,run10
7,2026-04-05T16:24:24+00:00,1775406264.0,431.0,431,servergm,-3.3800000000000004e-07,-0.338,0.000146,146.0,high,run10
8,2026-04-05T16:25:26+00:00,1775406326.0,493.0,493,servergm,-3.6700000000000004e-07,-0.36700000000000005,0.00015099999999999998,150.99999999999997,high,run10
9,2026-04-05T16:26:27+00:00,1775406387.0,554.0,554,servergm,-1.2340000000000002e-06,-1.2340000000000002,0.000102,102.0,high,run10
