sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-06T02:09:35+00:00,1775441375.0,0.0,0,-6.3008e-05,-63.008,-3.0183e-05,-30.183,medium,run08
1,2026-04-06T02:10:37+00:00,1775441437.0,62.0,62,-3.1072e-05,-31.072000000000003,-1.1246e-05,-11.246,medium,run08
2,2026-04-06T02:11:38+00:00,1775441498.0,123.0,123,-3.1571e-05,-31.571,-3.3478e-05,-33.478,medium,run08
3,2026-04-06T02:12:40+00:00,1775441560.0,185.0,185,-8.3432e-05,-83.432,-0.000122833,-122.83300000000001,medium,run08
4,2026-04-06T02:13:41+00:00,1775441621.0,246.0,246,-5.7277e-05,-57.277,-3.9065e-05,-39.065,medium,run08
5,2026-04-06T02:14:43+00:00,1775441683.0,308.0,308,-0.000111177,-111.17699999999999,-0.000119825,-119.825,medium,run08
6,2026-04-06T02:15:44+00:00,1775441744.0,369.0,369,1.5573e-05,15.573000000000002,6.934e-05,69.34,medium,run08
7,2026-04-06T02:16:46+00:00,1775441806.0,431.0,431,1.6618e-05,16.618,2.2535e-05,22.535,medium,run08
8,2026-04-06T02:17:47+00:00,1775441867.0,492.0,492,-1.9909e-05,-19.909,-2.8678e-05,-28.677999999999997,medium,run08
9,2026-04-06T02:18:49+00:00,1775441929.0,554.0,554,-1.446e-06,-1.446,-1.576e-06,-1.576,medium,run08
10,2026-04-06T02:19:50+00:00,1775441990.0,615.0,615,3.265e-06,3.265,1.465e-05,14.65,medium,run08
11,2026-04-06T02:20:52+00:00,1775442052.0,677.0,677,-0.0,-0.0,1.465e-05,14.65,medium,run08
12,2026-04-06T02:21:53+00:00,1775442113.0,738.0,738,-1.092e-05,-10.92,-1.5923e-05,-15.923,medium,run08
13,2026-04-06T02:22:55+00:00,1775442175.0,800.0,800,-5.61e-07,-0.561,-5.675e-06,-5.675,medium,run08
14,2026-04-06T02:23:56+00:00,1775442236.0,861.0,861,-3e-09,-0.003,-2.924e-06,-2.924,medium,run08
15,2026-04-06T02:24:58+00:00,1775442298.0,923.0,923,-1.253e-06,-1.253,-1.318e-06,-1.3179999999999998,medium,run08
16,2026-04-06T02:25:59+00:00,1775442359.0,984.0,984,-9.134e-06,-9.133999999999999,-1.0034e-05,-10.034,medium,run08
17,2026-04-06T02:27:01+00:00,1775442421.0,1046.0,1046,-9.68e-07,-0.9680000000000001,-9.11e-07,-0.911,medium,run08
18,2026-04-06T02:28:02+00:00,1775442482.0,1107.0,1107,-4.81e-06,-4.81,-4.799e-06,-4.799,medium,run08
19,2026-04-06T02:29:04+00:00,1775442544.0,1169.0,1169,1.8e-07,0.18,-2.32e-07,-0.232,medium,run08
