sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T13:51:42+00:00,1775397102.0,0.0,0,servergm,-2.6080000000000003e-06,-2.608,0.00013,130.0,medium,run14
1,2026-04-05T13:52:44+00:00,1775397164.0,62.0,62,servergm,-4.492e-06,-4.492,0.00013,130.0,medium,run14
2,2026-04-05T13:53:45+00:00,1775397225.0,123.0,123,servergm,-1.529e-06,-1.5290000000000001,0.000133,133.0,medium,run14
3,2026-04-05T13:54:47+00:00,1775397287.0,185.0,185,servergm,-4.3580000000000005e-06,-4.3580000000000005,0.000133,133.0,medium,run14
4,2026-04-05T13:55:48+00:00,1775397348.0,246.0,246,servergm,-7.185000000000001e-06,-7.1850000000000005,0.000133,133.0,medium,run14
5,2026-04-05T13:56:50+00:00,1775397410.0,308.0,308,servergm,-2.1000000000000003e-08,-0.021,0.00013199999999999998,131.99999999999997,medium,run14
6,2026-04-05T13:57:51+00:00,1775397471.0,369.0,369,servergm,-5.37e-07,-0.537,0.00013199999999999998,131.99999999999997,medium,run14
7,2026-04-05T13:58:53+00:00,1775397533.0,431.0,431,servergm,-7.71e-07,-0.771,0.000133,133.0,medium,run14
8,2026-04-05T13:59:54+00:00,1775397594.0,492.0,492,servergm,-2.735e-06,-2.735,0.000133,133.0,medium,run14
9,2026-04-05T14:00:56+00:00,1775397656.0,554.0,554,servergm,-4.698000000000001e-06,-4.698,0.000133,133.0,medium,run14
