sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T13:51:42+00:00,1775397102.0,0.0,0,9e-09,0.009,-6.416e-06,-6.416,medium,run14
1,2026-04-05T13:52:44+00:00,1775397164.0,62.0,62,9e-09,0.009,-6.416e-06,-6.416,medium,run14
2,2026-04-05T13:53:45+00:00,1775397225.0,123.0,123,4.3e-08,0.043000000000000003,-4.9325e-05,-49.325,medium,run14
3,2026-04-05T13:54:47+00:00,1775397287.0,185.0,185,4.3e-08,0.043000000000000003,-4.9325e-05,-49.325,medium,run14
4,2026-04-05T13:55:48+00:00,1775397348.0,246.0,246,4.2e-08,0.041999999999999996,-4.9325e-05,-49.325,medium,run14
5,2026-04-05T13:56:50+00:00,1775397410.0,308.0,308,-4.9496e-05,-49.496,-4.9619e-05,-49.619,medium,run14
6,2026-04-05T13:57:51+00:00,1775397471.0,369.0,369,-4.6728e-05,-46.727999999999994,-4.9619e-05,-49.619,medium,run14
7,2026-04-05T13:58:53+00:00,1775397533.0,431.0,431,-0.000160858,-160.858,-0.000170246,-170.246,medium,run14
8,2026-04-05T13:59:54+00:00,1775397594.0,492.0,492,-1.7905e-05,-17.904999999999998,-0.000170246,-170.246,medium,run14
9,2026-04-05T14:00:56+00:00,1775397656.0,554.0,554,1.3e-08,0.013000000000000001,-0.000170246,-170.246,medium,run14
