sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T09:42:08+00:00,1775382128.0,0.0,0,3e-09,0.003,9.403e-06,9.403,low,run10
1,2026-04-05T09:43:10+00:00,1775382190.0,62.0,62,3e-09,0.003,9.403e-06,9.403,low,run10
2,2026-04-05T09:44:11+00:00,1775382251.0,123.0,123,3e-09,0.003,9.403e-06,9.403,low,run10
3,2026-04-05T09:45:13+00:00,1775382313.0,185.0,185,3e-09,0.003,9.403e-06,9.403,low,run10
4,2026-04-05T09:46:14+00:00,1775382374.0,246.0,246,-0.000256625,-256.625,-0.000301667,-301.667,low,run10
5,2026-04-05T09:47:16+00:00,1775382436.0,308.0,308,-0.000194829,-194.82899999999998,-0.000301667,-301.667,low,run10
6,2026-04-05T09:48:17+00:00,1775382497.0,369.0,369,-0.000133035,-133.035,-0.000301667,-301.667,low,run10
7,2026-04-05T09:49:19+00:00,1775382559.0,431.0,431,-7.1228e-05,-71.22800000000001,-0.000301667,-301.667,low,run10
8,2026-04-05T09:50:20+00:00,1775382620.0,492.0,492,-0.000228321,-228.321,-0.000218375,-218.375,low,run10
9,2026-04-05T09:51:22+00:00,1775382682.0,554.0,554,-0.000168601,-168.601,-0.000218375,-218.375,low,run10
