scenario,section,source_name,metric,source,n_runs_total,n_total_rows,n_valid,mean,std,min,q10,q25,median,q75,q90,max,range,iqr,cv
high,sourcestats,servergm,offset_us,all_raw_samples_across_runs,15,300,300,-5.45057,14.335299,-91.0,-15.0,-2.95575,-0.36,-0.03275,-0.0019,13.0,104.0,2.923,-2.630055
high,sourcestats,servergm,stddev_us,all_raw_samples_across_runs,15,300,300,95.787203,67.606694,3.614,17.9,41.5,88.0,133.25,185.2,410.0,406.386,91.75,0.705801
