scenario,section,metric,source,n_points_curve,n_runs_min,n_runs_max,curve_mean_of_mean,curve_std_of_mean,curve_min_of_mean,curve_q10_of_mean,curve_q25_of_mean,curve_median_of_mean,curve_q75_of_mean,curve_q90_of_mean,curve_max_of_mean,curve_range_of_mean,curve_iqr_of_mean,curve_cv_of_mean,curve_mean_of_std,curve_std_of_std,curve_max_of_std,curve_mean_iqr_width,curve_std_iqr_width,curve_median_iqr_width,curve_max_iqr_width,curve_mean_p10p90_width,curve_std_p10p90_width,curve_median_p10p90_width,curve_max_p10p90_width
high,tracking,system_time_us,aggregated_curve_over_sample_idx,20,15,15,-34.573207,10.808935,-59.1202,-51.284,-39.3313,-35.444567,-25.702817,-23.753227,-17.587533,41.532667,13.628483,-0.312639,47.259724,20.573848,110.242132,45.6367,15.747294,44.641,84.702,82.40312,26.103749,79.3226,138.937
high,tracking,last_offset_us,aggregated_curve_over_sample_idx,20,15,15,-61.311737,20.675393,-100.343,-88.440353,-74.965617,-59.228133,-45.74865,-39.65756,-27.1684,73.1746,29.216967,-0.337218,77.378988,30.852327,129.502465,76.61665,32.499607,63.30075,150.9325,147.71325,47.132816,140.3529,265.0294
