scenario,section,source_name,metric,source,n_points_curve,n_runs_min,n_runs_max,curve_mean_of_mean,curve_std_of_mean,curve_min_of_mean,curve_q10_of_mean,curve_q25_of_mean,curve_median_of_mean,curve_q75_of_mean,curve_q90_of_mean,curve_max_of_mean,curve_range_of_mean,curve_iqr_of_mean,curve_cv_of_mean,curve_mean_of_std,curve_std_of_std,curve_max_of_std,curve_mean_iqr_width,curve_std_iqr_width,curve_median_iqr_width,curve_max_iqr_width,curve_mean_p10p90_width,curve_std_p10p90_width,curve_median_p10p90_width,curve_max_p10p90_width
high,sourcestats,servergm,offset_us,aggregated_curve_over_sample_idx,20,15,15,-5.45057,3.937349,-15.102867,-11.120453,-6.90975,-4.732767,-2.20865,-1.133753,-0.901467,14.2014,4.7011,-0.722374,11.781272,8.263271,27.614987,3.692975,2.854873,3.2445,10.447,15.83599,15.304037,13.0525,53.973
high,sourcestats,servergm,stddev_us,aggregated_curve_over_sample_idx,20,15,15,95.787203,15.852636,72.0398,81.1,84.510233,91.686567,101.793067,115.986667,135.0,62.9602,17.282833,0.165498,65.979045,16.914312,121.098464,88.45,26.728607,93.75,131.5,154.76,37.547421,148.7,273.8
