role,scenario,run_id,source_file,convergence_time_s,fault_count,offset_mean_ns_s2,offset_std_ns_s2,offset_p50_ns_s2,offset_p95_ns_s2,offset_p99_ns_s2,offset_maxabs_ns_s2,path_delay_mean_ns_s2,path_delay_std_ns_s2
boundary,medium,run11,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/medium/run11/ptp_boundary.log,27.01599999999962,0,121045.65789473684,791889.9461193647,-78422.0,1579950.0999999985,2857607.8599999985,7090878.0,727775.1842105263,147589.4666050951
boundary,medium,run12,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/medium/run12/ptp_boundary.log,27.087999999999738,0,312912.83259911893,1281026.9551912216,-29644.0,1959074.5999999973,5287722.620000008,12193396.0,827237.5110132159,225401.89778522312
boundary,medium,run13,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/medium/run13/ptp_boundary.log,26.309000000001106,0,321435.4298245614,1301951.5665385062,-137560.5,2492075.1499999966,5679515.9399999995,7088452.0,760968.0964912281,189095.9303090947
boundary,medium,run14,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/medium/run14/ptp_boundary.log,26.08600000000115,0,129316.06140350878,994409.4217739126,-69107.0,1330312.15,3762796.9799999935,11033824.0,755608.947368421,123693.8226682641
boundary,medium,run15,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/medium/run15/ptp_boundary.log,24.811999999999898,0,182797.6899563319,1153636.720832024,-114492.0,1885780.3999999997,5772851.239999998,9156464.0,699987.7336244541,154749.47665813996
boundary,high,run01,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run01/ptp_boundary.log,26.299000000000888,0,348674.4605263158,1177580.028371163,8635.5,2392941.4999999986,4408693.559999994,9443716.0,779168.2280701754,323496.4112576555
boundary,high,run02,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run02/ptp_boundary.log,25.72200000000157,0,-57049.03658536585,528280.5062247735,-213830.0,961895.3999999998,1866709.8900000001,2293399.0,704764.993902439,134872.71437589833
boundary,high,run03,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run03/ptp_boundary.log,27.450000000000728,0,73548.66960352423,881101.4210952966,-172086.0,1919941.2999999996,3560256.9400000027,4174186.0,694413.0528634362,212288.06116245044
boundary,high,run04,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run04/ptp_boundary.log,26.363999999999578,0,104106.41228070176,607851.0709014509,-32914.5,1195905.8999999997,1932011.1499999987,6061433.0,642958.6271929825,109300.94916929922
boundary,high,run05,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run05/ptp_boundary.log,25.74499999999898,0,129860.1798245614,867442.9820264252,-67408.0,1589980.8999999939,4804029.299999998,5847571.0,774428.6403508772,198702.16717102108
boundary,high,run06,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run06/ptp_boundary.log,25.971999999999753,0,-72262.45175438597,577618.4848537961,-154468.0,577825.9999999985,2590396.0599999875,4310720.0,805391.6798245613,102734.93459065603
boundary,high,run07,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run07/ptp_boundary.log,27.23199999999997,0,170751.43171806168,1119190.5541400085,-100161.0,2035248.4,5270134.140000014,8972893.0,845286.1806167401,172638.12015179865
boundary,high,run08,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run08/ptp_boundary.log,25.78100000000086,0,167590.16666666666,522184.4674083191,87396.0,1157223.6499999997,2120397.2199999993,3375172.0,728650.9605263158,150896.77378308596
boundary,high,run09,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run09/ptp_boundary.log,25.3070000000007,0,209827.34061135372,1500701.0829604869,-6988.0,996312.5999999996,6180963.279999994,16178221.0,729145.1091703057,168915.282299232
boundary,high,run10,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run10/ptp_boundary.log,25.69000000000233,0,131705.80751173708,729211.4037912423,22759.0,1015621.7999999985,2095093.1999999997,7196286.0,776089.4178403756,126961.32618739952
boundary,high,run11,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run11/ptp_boundary.log,25.809000000001106,0,102561.48684210527,978697.1547006279,-59181.5,1261299.8499999978,3667846.249999978,11240482.0,782308.5745614035,110700.75366265124
boundary,high,run12,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run12/ptp_boundary.log,27.043000000001484,0,214059.06748466258,851553.3428771712,312.0,1392541.400000001,3451187.2399999946,8254013.0,604310.2024539877,81936.42447723163
boundary,high,run13,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run13/ptp_boundary.log,27.483000000000175,0,61228.11013215859,1055911.0600221741,-105910.0,1142699.4999999998,2010629.580000001,14024514.0,792237.2555066079,159394.0818750029
boundary,high,run14,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run14/ptp_boundary.log,27.494000000002416,0,-28387.15859030837,564661.5505534811,-183120.0,1086964.5,1735622.0400000021,3031392.0,754367.2907488986,117797.45960282718
boundary,high,run15,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run15/ptp_boundary.log,26.056000000000495,0,242053.35087719298,1076108.6670077306,-73853.0,1660550.9999999981,4683215.839999995,9466892.0,614270.9824561403,206483.8303573414
