sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T11:27:24+00:00,1775388444.0,0.0,0,servergm,-1.1e-05,-11.0,0.000163,163.0,medium,run03
1,2026-04-05T11:28:26+00:00,1775388506.0,62.0,62,servergm,-9.940000000000001e-07,-0.9940000000000001,0.000163,163.0,medium,run03
2,2026-04-05T11:29:27+00:00,1775388567.0,123.0,123,servergm,-3.7490000000000004e-06,-3.7490000000000006,0.000163,163.0,medium,run03
3,2026-04-05T11:30:29+00:00,1775388629.0,185.0,185,servergm,-1.08e-06,-1.08,0.000165,165.0,medium,run03
4,2026-04-05T11:31:30+00:00,1775388690.0,246.0,246,servergm,-1.84e-07,-0.184,0.00016199999999999998,161.99999999999997,medium,run03
5,2026-04-05T11:32:32+00:00,1775388752.0,308.0,308,servergm,-1.22e-07,-0.12200000000000001,0.000166,166.0,medium,run03
6,2026-04-05T11:33:33+00:00,1775388813.0,369.0,369,servergm,-5.03e-07,-0.503,0.000168,168.0,medium,run03
7,2026-04-05T11:34:35+00:00,1775388875.0,431.0,431,servergm,-1.7240000000000001e-06,-1.7240000000000002,0.000168,168.0,medium,run03
8,2026-04-05T11:35:36+00:00,1775388936.0,492.0,492,servergm,-2.944e-06,-2.944,0.000168,168.0,medium,run03
9,2026-04-05T11:36:38+00:00,1775388998.0,554.0,554,servergm,-2.4000000000000003e-08,-0.024000000000000004,0.000163,163.0,medium,run03
