sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-06T05:18:30+00:00,1775452710.0,0.0,0,-3.784e-05,-37.839999999999996,-2.3204e-05,-23.204,high,run01
1,2026-04-06T05:19:32+00:00,1775452772.0,62.0,62,4.17e-07,0.417,-0.000136628,-136.628,high,run01
2,2026-04-06T05:20:34+00:00,1775452834.0,124.0,124,-0.000110359,-110.35900000000001,-0.000123623,-123.623,high,run01
3,2026-04-06T05:21:35+00:00,1775452895.0,185.0,185,-0.000122635,-122.635,-0.00015979,-159.79000000000002,high,run01
4,2026-04-06T05:22:37+00:00,1775452957.0,247.0,247,-5.044e-05,-50.44,-2.5976e-05,-25.976,high,run01
5,2026-04-06T05:23:39+00:00,1775453019.0,309.0,309,-1.1544e-05,-11.544,-8.906e-06,-8.906,high,run01
6,2026-04-06T05:24:40+00:00,1775453080.0,370.0,370,5.856e-06,5.856000000000001,4.584e-06,4.584,high,run01
7,2026-04-06T05:25:42+00:00,1775453142.0,432.0,432,5.357e-06,5.356999999999999,7.723e-06,7.723000000000001,high,run01
8,2026-04-06T05:26:44+00:00,1775453204.0,494.0,494,-4.219e-06,-4.218999999999999,-2.6518e-05,-26.518,high,run01
9,2026-04-06T05:27:45+00:00,1775453265.0,555.0,555,6e-09,0.006,-1.99e-06,-1.99,high,run01
10,2026-04-06T05:28:47+00:00,1775453327.0,617.0,617,4.776e-06,4.776,5.168e-06,5.168,high,run01
11,2026-04-06T05:29:49+00:00,1775453389.0,679.0,679,7.625e-06,7.625,4.668e-06,4.668,high,run01
12,2026-04-06T05:30:50+00:00,1775453450.0,740.0,740,8.362e-06,8.362,6.185e-06,6.1850000000000005,high,run01
13,2026-04-06T05:31:52+00:00,1775453512.0,802.0,802,9.864e-06,9.864,9.332e-06,9.331999999999999,high,run01
14,2026-04-06T05:32:54+00:00,1775453574.0,864.0,864,-1.0865e-05,-10.865,-1.0418e-05,-10.418,high,run01
15,2026-04-06T05:33:55+00:00,1775453635.0,925.0,925,-2e-09,-0.002,-2.336e-06,-2.3360000000000003,high,run01
16,2026-04-06T05:34:57+00:00,1775453697.0,987.0,987,-1.225e-05,-12.25,-1.0188e-05,-10.187999999999999,high,run01
17,2026-04-06T05:35:58+00:00,1775453758.0,1048.0,1048,-1.485e-05,-14.85,-1.333e-05,-13.33,high,run01
18,2026-04-06T05:37:00+00:00,1775453820.0,1110.0,1110,1e-09,0.001,4.15e-07,0.415,high,run01
19,2026-04-06T05:38:02+00:00,1775453882.0,1172.0,1172,-1e-09,-0.001,1.809e-06,1.809,high,run01
