sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T15:37:21+00:00,1775403441.0,0.0,0,servergm,-5.94e-07,-0.5940000000000001,0.000137,137.0,high,run07
1,2026-04-05T15:38:22+00:00,1775403502.0,61.0,61,servergm,-7.164e-06,-7.164000000000001,0.000137,137.0,high,run07
2,2026-04-05T15:39:24+00:00,1775403564.0,123.0,123,servergm,-9.2e-08,-0.092,0.00014199999999999998,141.99999999999997,high,run07
3,2026-04-05T15:40:26+00:00,1775403626.0,185.0,185,servergm,-1.33e-07,-0.133,0.00014,140.0,high,run07
4,2026-04-05T15:41:27+00:00,1775403687.0,246.0,246,servergm,-2.0000000000000002e-07,-0.2,0.000147,147.0,high,run07
5,2026-04-05T15:42:29+00:00,1775403749.0,308.0,308,servergm,-4.4600000000000005e-07,-0.44600000000000006,0.00015,150.0,high,run07
6,2026-04-05T15:43:30+00:00,1775403810.0,369.0,369,servergm,-1.14e-06,-1.1400000000000001,0.00015199999999999998,151.99999999999997,high,run07
7,2026-04-05T15:44:32+00:00,1775403872.0,431.0,431,servergm,3.7e-08,0.037,0.000154,154.0,high,run07
8,2026-04-05T15:45:33+00:00,1775403933.0,492.0,492,servergm,-6.2e-08,-0.062,0.000154,154.0,high,run07
9,2026-04-05T15:46:35+00:00,1775403995.0,554.0,554,servergm,-1.83e-07,-0.18300000000000002,0.00016199999999999998,161.99999999999997,high,run07
