t,offset_ns,servo_state,freq_raw,path_delay_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
8407.716,20496,2,-710739,802196,ptp4l[8407.716]: master offset      20496 s2 freq -710739 path delay    802196,209.17300000000068,209,209,low,run11,boundary
8408.717,-74263,2,-720290,802196,ptp4l[8408.717]: master offset     -74263 s2 freq -720290 path delay    802196,210.1740000000009,210,210,low,run11,boundary
8409.718,69769,2,-705817,773288,ptp4l[8409.718]: master offset      69769 s2 freq -705817 path delay    773288,211.1750000000011,211,211,low,run11,boundary
8410.718,-496262,2,-762916,773288,ptp4l[8410.718]: master offset    -496262 s2 freq -762916 path delay    773288,212.1750000000011,212,212,low,run11,boundary
8411.721,-88249,2,-722203,744441,ptp4l[8411.721]: master offset     -88249 s2 freq -722203 path delay    744441,213.17799999999988,213,213,low,run11,boundary
8412.723,135796,2,-699663,744441,ptp4l[8412.723]: master offset     135796 s2 freq -699663 path delay    744441,214.1800000000003,214,214,low,run11,boundary
8413.726,-66909,2,-720000,759263,ptp4l[8413.726]: master offset     -66909 s2 freq -720000 path delay    759263,215.1830000000009,215,215,low,run11,boundary
8414.728,-26729,2,-716009,737719,ptp4l[8414.728]: master offset     -26729 s2 freq -716009 path delay    737719,216.1849999999995,216,216,low,run11,boundary
8415.729,232349,2,-689869,758815,ptp4l[8415.729]: master offset     232349 s2 freq -689869 path delay    758815,217.1859999999997,217,217,low,run11,boundary
8416.732,707497,2,-641646,815135,ptp4l[8416.732]: master offset     707497 s2 freq -641646 path delay    815135,218.1890000000003,218,218,low,run11,boundary
8417.733,374013,2,-674621,938908,ptp4l[8417.733]: master offset     374013 s2 freq -674621 path delay    938908,219.1900000000005,219,219,low,run11,boundary
8418.735,23059,2,-709693,980956,ptp4l[8418.735]: master offset      23059 s2 freq -709693 path delay    980956,220.19200000000092,220,220,low,run11,boundary
8419.736,345736,2,-677080,980956,ptp4l[8419.736]: master offset     345736 s2 freq -677080 path delay    980956,221.19300000000112,221,221,low,run11,boundary
8420.735,-164648,2,-728283,1022286,ptp4l[8420.735]: master offset    -164648 s2 freq -728283 path delay   1022286,222.19200000000092,222,222,low,run11,boundary
8421.736,-73206,2,-719212,980956,ptp4l[8421.736]: master offset     -73206 s2 freq -719212 path delay    980956,223.19300000000112,223,223,low,run11,boundary
8422.738,-320456,2,-744257,980956,ptp4l[8422.738]: master offset    -320456 s2 freq -744257 path delay    980956,224.1949999999997,224,224,low,run11,boundary
8423.738,-287707,2,-741270,971543,ptp4l[8423.738]: master offset    -287707 s2 freq -741270 path delay    971543,225.1949999999997,225,225,low,run11,boundary
8424.738,-189453,2,-731634,1036929,ptp4l[8424.738]: master offset    -189453 s2 freq -731634 path delay   1036929,226.1949999999997,226,226,low,run11,boundary
8425.74,-234316,2,-736355,1036929,ptp4l[8425.740]: master offset    -234316 s2 freq -736355 path delay   1036929,227.19700000000012,227,227,low,run11,boundary
8426.744,927115,2,-619284,971543,ptp4l[8426.744]: master offset     927115 s2 freq -619284 path delay    971543,228.20100000000093,228,228,low,run11,boundary
8427.745,-324004,2,-744720,971543,ptp4l[8427.745]: master offset    -324004 s2 freq -744720 path delay    971543,229.20200000000114,229,229,low,run11,boundary
8428.748,-76956,2,-720093,901695,ptp4l[8428.748]: master offset     -76956 s2 freq -720093 path delay    901695,230.20499999999993,230,230,low,run11,boundary
8429.748,-286327,2,-741316,824320,ptp4l[8429.748]: master offset    -286327 s2 freq -741316 path delay    824320,231.20499999999993,231,231,low,run11,boundary
8430.751,33950,2,-709254,824320,ptp4l[8430.751]: master offset      33950 s2 freq -709254 path delay    824320,232.20800000000054,232,232,low,run11,boundary
8431.753,-213837,2,-734247,802370,ptp4l[8431.753]: master offset    -213837 s2 freq -734247 path delay    802370,233.21000000000095,233,233,low,run11,boundary
8432.754,87994,2,-703976,773385,ptp4l[8432.754]: master offset      87994 s2 freq -703976 path delay    773385,234.21100000000115,234,234,low,run11,boundary
8433.755,-329279,2,-746032,733308,ptp4l[8433.755]: master offset    -329279 s2 freq -746032 path delay    733308,235.21199999999953,235,235,low,run11,boundary
8434.757,709847,2,-641410,682439,ptp4l[8434.757]: master offset     709847 s2 freq -641410 path delay    682439,236.21399999999994,236,236,low,run11,boundary
8435.756,-432139,2,-756041,682439,ptp4l[8435.756]: master offset    -432139 s2 freq -756041 path delay    682439,237.21299999999974,237,237,low,run11,boundary
8436.757,-90414,2,-721959,653794,ptp4l[8436.757]: master offset     -90414 s2 freq -721959 path delay    653794,238.21399999999994,238,238,low,run11,boundary
8437.758,-55692,2,-718542,653794,ptp4l[8437.758]: master offset     -55692 s2 freq -718542 path delay    653794,239.21500000000015,239,239,low,run11,boundary
8438.76,224478,2,-690301,653794,ptp4l[8438.760]: master offset     224478 s2 freq -690301 path delay    653794,240.21700000000055,240,240,low,run11,boundary
8439.76,16624,2,-711069,674714,ptp4l[8439.760]: master offset      16624 s2 freq -711069 path delay    674714,241.21700000000055,241,241,low,run11,boundary
8440.763,-24736,2,-715230,674714,ptp4l[8440.763]: master offset     -24736 s2 freq -715230 path delay    674714,242.22000000000116,242,242,low,run11,boundary
8441.763,127735,2,-699855,674714,ptp4l[8441.763]: master offset     127735 s2 freq -699855 path delay    674714,243.22000000000116,243,243,low,run11,boundary
8442.766,1164173,2,-595047,674714,ptp4l[8442.766]: master offset    1164173 s2 freq -595047 path delay    674714,244.22299999999996,244,244,low,run11,boundary
8443.768,386726,2,-672405,674714,ptp4l[8443.768]: master offset     386726 s2 freq -672405 path delay    674714,245.22500000000036,245,245,low,run11,boundary
