scenario,section,source_name,metric,source,n_points_curve,n_runs_min,n_runs_max,curve_mean_of_mean,curve_std_of_mean,curve_min_of_mean,curve_q10_of_mean,curve_q25_of_mean,curve_median_of_mean,curve_q75_of_mean,curve_q90_of_mean,curve_max_of_mean,curve_range_of_mean,curve_iqr_of_mean,curve_cv_of_mean,curve_mean_of_std,curve_std_of_std,curve_max_of_std,curve_mean_iqr_width,curve_std_iqr_width,curve_median_iqr_width,curve_max_iqr_width,curve_mean_p10p90_width,curve_std_p10p90_width,curve_median_p10p90_width,curve_max_p10p90_width
medium,sourcestats,servergm,offset_us,aggregated_curve_over_sample_idx,10,15,15,-3.862593,1.934688,-7.293267,-6.146847,-5.150217,-3.4185,-3.116217,-1.7469,-0.9138,6.379467,2.034,-0.500878,8.003316,4.008535,14.210872,3.31815,1.288427,3.48875,5.539,9.54554,4.794869,8.2467,18.7862
medium,sourcestats,servergm,stddev_us,aggregated_curve_over_sample_idx,10,15,15,139.16,38.29817,121.133333,121.553333,123.7,125.733333,128.1,157.5,246.0,124.866667,4.4,0.27521,100.693498,143.401248,501.660101,76.4,4.712867,76.0,83.5,111.36,6.11141,113.1,121.0
