scenario,section,metric,source,n_points_curve,n_runs_min,n_runs_max,curve_mean_of_mean,curve_std_of_mean,curve_min_of_mean,curve_q10_of_mean,curve_q25_of_mean,curve_median_of_mean,curve_q75_of_mean,curve_q90_of_mean,curve_max_of_mean,curve_range_of_mean,curve_iqr_of_mean,curve_cv_of_mean,curve_mean_of_std,curve_std_of_std,curve_max_of_std,curve_mean_iqr_width,curve_std_iqr_width,curve_median_iqr_width,curve_max_iqr_width,curve_mean_p10p90_width,curve_std_p10p90_width,curve_median_p10p90_width,curve_max_p10p90_width
medium,tracking,system_time_us,aggregated_curve_over_sample_idx,10,15,15,-10.76524,49.926755,-51.168533,-45.022373,-36.530667,-29.435867,-10.436267,40.318147,114.676267,165.8448,26.0944,-4.637774,125.568851,181.550625,614.570795,43.94705,24.897313,46.42575,87.1285,97.56336,41.040011,92.8825,176.6928
medium,tracking,last_offset_us,aggregated_curve_over_sample_idx,10,15,15,-47.052333,57.143168,-99.783,-88.71486,-84.80465,-56.711733,-34.909717,-18.04538,99.7648,199.5478,49.894933,-1.21446,159.380494,172.879095,631.494909,78.54975,41.443749,58.38525,140.319,178.12692,53.239323,171.1464,293.4184
