sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T11:01:16+00:00,1775386876.0,0.0,0,servergm,-9.741e-06,-9.741,0.000163,163.0,medium,run01
1,2026-04-05T11:02:17+00:00,1775386937.0,61.0,61,servergm,-1.27e-07,-0.127,0.000163,163.0,medium,run01
2,2026-04-05T11:03:19+00:00,1775386999.0,123.0,123,servergm,-5.0190000000000006e-06,-5.019,0.000163,163.0,medium,run01
3,2026-04-05T11:04:20+00:00,1775387060.0,184.0,184,servergm,-2.026e-06,-2.0260000000000002,0.00016199999999999998,161.99999999999997,medium,run01
4,2026-04-05T11:05:22+00:00,1775387122.0,246.0,246,servergm,-8.7e-07,-0.87,0.00016099999999999998,160.99999999999997,medium,run01
5,2026-04-05T11:06:23+00:00,1775387183.0,307.0,307,servergm,-1.8450000000000001e-06,-1.8450000000000002,0.000165,165.0,medium,run01
6,2026-04-05T11:07:25+00:00,1775387245.0,369.0,369,servergm,-7.25e-07,-0.7250000000000001,0.000165,165.0,medium,run01
7,2026-04-05T11:08:26+00:00,1775387306.0,430.0,430,servergm,-2.5340000000000002e-06,-2.5340000000000003,0.000165,165.0,medium,run01
8,2026-04-05T11:09:28+00:00,1775387368.0,492.0,492,servergm,-4.343000000000001e-06,-4.343000000000001,0.000165,165.0,medium,run01
9,2026-04-05T11:10:29+00:00,1775387429.0,553.0,553,servergm,-7.000000000000001e-09,-0.007000000000000001,0.000163,163.0,medium,run01
