t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
10662.83,38925,39770,68200000,0,444313.0,0.0,ptp4l[10662.830]: rms 38925 max 39770 freq +68200000 +/-   0 delay 444313 +/-   0,0.0,0,0,medium,run04,client
10664.826,317047,441667,68200000,0,522934.0,29515.0,ptp4l[10664.826]: rms 317047 max 441667 freq +68200000 +/-   0 delay 522934 +/- 29515,1.995999999999185,2,1,medium,run04,client
10666.829,232346,300697,68200000,0,526072.0,111.0,ptp4l[10666.829]: rms 232346 max 300697 freq +68200000 +/-   0 delay 526072 +/- 111,3.9989999999997963,4,2,medium,run04,client
10668.823,258394,300322,68200000,0,526072.0,0.0,ptp4l[10668.823]: rms 258394 max 300322 freq +68200000 +/-   0 delay 526072 +/-   0,5.993000000000393,6,3,medium,run04,client
10670.825,665053,902438,68200000,0,526004.0,68.0,ptp4l[10670.825]: rms 665053 max 902438 freq +68200000 +/-   0 delay 526004 +/-  68,7.9950000000008,8,4,medium,run04,client
10672.84,54614,61322,68200000,0,557333.0,0.0,ptp4l[10672.840]: rms 54614 max 61322 freq +68200000 +/-   0 delay 557333 +/-   0,10.010000000000218,10,5,medium,run04,client
10675.825,278234,306577,68200000,0,556380.0,33183.0,ptp4l[10675.825]: rms 278234 max 306577 freq +68200000 +/-   0 delay 556380 +/- 33183,12.9950000000008,13,6,medium,run04,client
10677.835,821438,1007310,68182055,17945,607297.0,84370.0,ptp4l[10677.835]: rms 821438 max 1007310 freq +68182055 +/- 17945 delay 607297 +/- 84370,15.0049999999992,15,7,medium,run04,client
10679.839,82697,116897,68157968,5665,636276.0,0.0,ptp4l[10679.839]: rms 82697 max 116897 freq +68157968 +/- 5665 delay 636276 +/-   0,17.009000000000015,17,8,medium,run04,client
10681.833,175708,248132,68150663,11735,702406.0,0.0,ptp4l[10681.833]: rms 175708 max 248132 freq +68150663 +/- 11735 delay 702406 +/-   0,19.00300000000061,19,9,medium,run04,client
10683.833,138969,147557,68149647,822,627790.0,17325.0,ptp4l[10683.833]: rms 138969 max 147557 freq +68149647 +/- 822 delay 627790 +/- 17325,21.00300000000061,21,10,medium,run04,client
10685.839,284642,402292,68142408,19603,638825.0,0.0,ptp4l[10685.839]: rms 284642 max 402292 freq +68142408 +/- 19603 delay 638825 +/-   0,23.009000000000015,23,11,medium,run04,client
10687.832,341663,393245,68128857,5821,638825.0,0.0,ptp4l[10687.832]: rms 341663 max 393245 freq +68128857 +/- 5821 delay 638825 +/-   0,25.002000000000407,25,12,medium,run04,client
10689.832,509763,686436,68185791,45679,571064.0,40995.0,ptp4l[10689.832]: rms 509763 max 686436 freq +68185791 +/- 45679 delay 571064 +/- 40995,27.002000000000407,27,13,medium,run04,client
10691.838,181270,231462,68180135,6179,502504.0,0.0,ptp4l[10691.838]: rms 181270 max 231462 freq +68180135 +/- 6179 delay 502504 +/-   0,29.00799999999981,29,14,medium,run04,client
