sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T16:56:40+00:00,1775408200.0,0.0,0,-3.2301e-05,-32.301,-3.012e-06,-3.012,high,run13
1,2026-04-05T16:57:42+00:00,1775408262.0,62.0,62,-4.918e-06,-4.918,-5.27e-06,-5.2700000000000005,high,run13
2,2026-04-05T16:58:43+00:00,1775408323.0,123.0,123,-1.9808e-05,-19.808,-2.1419e-05,-21.419,high,run13
3,2026-04-05T16:59:45+00:00,1775408385.0,185.0,185,-1.4105e-05,-14.105,-1.4103e-05,-14.103,high,run13
4,2026-04-05T17:00:46+00:00,1775408446.0,246.0,246,1.6778e-05,16.778000000000002,1.6776e-05,16.776,high,run13
5,2026-04-05T17:01:48+00:00,1775408508.0,308.0,308,-1.8818e-05,-18.817999999999998,-1.7475e-05,-17.475,high,run13
6,2026-04-05T17:02:49+00:00,1775408569.0,369.0,369,1.5773e-05,15.773,1.9676e-05,19.676,high,run13
7,2026-04-05T17:03:51+00:00,1775408631.0,431.0,431,1.2948e-05,12.948,1.9676e-05,19.676,high,run13
8,2026-04-05T17:04:52+00:00,1775408692.0,492.0,492,-1.6824e-05,-16.824,-1.5119e-05,-15.119,high,run13
9,2026-04-05T17:05:54+00:00,1775408754.0,554.0,554,-1.342e-06,-1.342,5.199e-06,5.199,high,run13
