sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-06T03:19:53+00:00,1775445593.0,0.0,0,servergm,-1.381e-06,-1.381,0.00025,250.0,medium,run11
1,2026-04-06T03:20:54+00:00,1775445654.0,61.0,61,servergm,-3.3650000000000004e-06,-3.365,0.000169,169.0,medium,run11
2,2026-04-06T03:21:56+00:00,1775445716.0,123.0,123,servergm,-1.72e-07,-0.17200000000000001,0.00010999999999999999,109.99999999999999,medium,run11
3,2026-04-06T03:22:57+00:00,1775445777.0,184.0,184,servergm,-2.172e-06,-2.172,0.00017199999999999998,171.99999999999997,medium,run11
4,2026-04-06T03:23:59+00:00,1775445839.0,246.0,246,servergm,-6.53e-07,-0.653,0.00015099999999999998,150.99999999999997,medium,run11
5,2026-04-06T03:25:00+00:00,1775445900.0,307.0,307,servergm,-3.7999999999999995e-05,-37.99999999999999,0.000163,163.0,medium,run11
6,2026-04-06T03:26:02+00:00,1775445962.0,369.0,369,servergm,-2.82e-06,-2.8200000000000003,0.000122,122.0,medium,run11
7,2026-04-06T03:27:03+00:00,1775446023.0,430.0,430,servergm,-9.072e-06,-9.072000000000001,0.000166,166.0,medium,run11
8,2026-04-06T03:28:05+00:00,1775446085.0,492.0,492,servergm,-3.0380000000000004e-06,-3.0380000000000003,0.00013099999999999999,131.0,medium,run11
9,2026-04-06T03:29:06+00:00,1775446146.0,553.0,553,servergm,-1.37e-07,-0.13699999999999998,0.000271,271.0,medium,run11
10,2026-04-06T03:30:08+00:00,1775446208.0,615.0,615,servergm,-1.2e-05,-12.0,0.000297,297.0,medium,run11
11,2026-04-06T03:31:10+00:00,1775446270.0,677.0,677,servergm,-3.9999999999999996e-05,-40.0,0.000168,168.0,medium,run11
12,2026-04-06T03:32:11+00:00,1775446331.0,738.0,738,servergm,-1.9990000000000003e-06,-1.9990000000000003,0.000126,126.0,medium,run11
13,2026-04-06T03:33:13+00:00,1775446393.0,800.0,800,servergm,2.1900000000000002e-07,0.21900000000000003,0.000128,128.0,medium,run11
14,2026-04-06T03:34:14+00:00,1775446454.0,861.0,861,servergm,-1.2e-05,-12.0,0.000116,116.0,medium,run11
15,2026-04-06T03:35:16+00:00,1775446516.0,923.0,923,servergm,-1.4000000000000001e-08,-0.014000000000000002,7e-05,70.0,medium,run11
16,2026-04-06T03:36:17+00:00,1775446577.0,984.0,984,servergm,-8.6e-08,-0.08600000000000001,6.7e-05,67.0,medium,run11
17,2026-04-06T03:37:19+00:00,1775446639.0,1046.0,1046,servergm,3.9000000000000005e-08,0.03900000000000001,6.2e-05,62.0,medium,run11
18,2026-04-06T03:38:20+00:00,1775446700.0,1107.0,1107,servergm,-1e-08,-0.01,5.9999999999999995e-05,59.99999999999999,medium,run11
19,2026-04-06T03:39:22+00:00,1775446762.0,1169.0,1169,servergm,-1e-08,-0.01,5.6e-05,56.0,medium,run11
