sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T17:09:44+00:00,1775408984.0,0.0,0,-2.9328e-05,-29.328,-1.4098e-05,-14.097999999999999,high,run14
1,2026-04-05T17:10:46+00:00,1775409046.0,62.0,62,-2.854e-05,-28.540000000000003,-3.9017e-05,-39.017,high,run14
2,2026-04-05T17:11:47+00:00,1775409107.0,123.0,123,-1.3962e-05,-13.962,-3.8069e-05,-38.068999999999996,high,run14
3,2026-04-05T17:12:49+00:00,1775409169.0,185.0,185,-1.0896e-05,-10.896,-7.254e-06,-7.2540000000000004,high,run14
4,2026-04-05T17:13:50+00:00,1775409230.0,246.0,246,-8.365e-06,-8.365,-7.254e-06,-7.2540000000000004,high,run14
5,2026-04-05T17:14:52+00:00,1775409292.0,308.0,308,-2.1039e-05,-21.038999999999998,-1.8877e-05,-18.877,high,run14
6,2026-04-05T17:15:53+00:00,1775409353.0,369.0,369,-1.7258e-05,-17.258,-1.7866e-05,-17.866,high,run14
7,2026-04-05T17:16:55+00:00,1775409415.0,431.0,431,8e-09,0.008,-6.754e-06,-6.7540000000000004,high,run14
8,2026-04-05T17:17:56+00:00,1775409476.0,492.0,492,-4.243e-06,-4.242999999999999,-4.285e-06,-4.284999999999999,high,run14
9,2026-04-05T17:18:58+00:00,1775409538.0,554.0,554,-1.8686e-05,-18.686,-1.5982e-05,-15.982000000000001,high,run14
