sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T21:52:46+00:00,1775425966.0,0.0,0,servergm,-1.21e-07,-0.12100000000000001,0.00021099999999999998,210.99999999999997,low,run12
1,2026-04-05T21:53:47+00:00,1775426027.0,61.0,61,servergm,-6.8e-08,-0.068,0.00020099999999999998,200.99999999999997,low,run12
2,2026-04-05T21:54:49+00:00,1775426089.0,123.0,123,servergm,-1.59e-07,-0.159,0.000177,177.0,low,run12
3,2026-04-05T21:55:50+00:00,1775426150.0,184.0,184,servergm,-2.2900000000000003e-07,-0.22900000000000004,0.00014099999999999998,140.99999999999997,low,run12
4,2026-04-05T21:56:52+00:00,1775426212.0,246.0,246,servergm,-3.95e-06,-3.95,8.099999999999999e-05,80.99999999999999,low,run12
5,2026-04-05T21:57:53+00:00,1775426273.0,307.0,307,servergm,-1.729e-06,-1.729,6.2e-05,62.0,low,run12
6,2026-04-05T21:58:55+00:00,1775426335.0,369.0,369,servergm,-4.7600000000000003e-07,-0.47600000000000003,0.000156,156.0,low,run12
7,2026-04-05T21:59:56+00:00,1775426396.0,430.0,430,servergm,-1.2e-05,-12.0,7.099999999999999e-05,70.99999999999999,low,run12
8,2026-04-05T22:00:58+00:00,1775426458.0,492.0,492,servergm,-9.110000000000001e-06,-9.110000000000001,0.000148,148.0,low,run12
9,2026-04-05T22:01:59+00:00,1775426519.0,553.0,553,servergm,-3.1e-08,-0.031,0.000103,103.0,low,run12
10,2026-04-05T22:03:01+00:00,1775426581.0,615.0,615,servergm,-1.6570000000000002e-06,-1.6570000000000003,3.5e-05,35.0,low,run12
11,2026-04-05T22:04:02+00:00,1775426642.0,676.0,676,servergm,-1.04e-06,-1.04,7.599999999999999e-05,75.99999999999999,low,run12
12,2026-04-05T22:05:04+00:00,1775426704.0,738.0,738,servergm,2e-09,0.002,4.4999999999999996e-05,44.99999999999999,low,run12
13,2026-04-05T22:06:05+00:00,1775426765.0,799.0,799,servergm,-4.628e-06,-4.628,0.00014,140.0,low,run12
14,2026-04-05T22:07:07+00:00,1775426827.0,861.0,861,servergm,-1.692e-06,-1.6920000000000002,0.000167,167.0,low,run12
15,2026-04-05T22:08:08+00:00,1775426888.0,922.0,922,servergm,2.7e-08,0.027,0.000178,178.0,low,run12
16,2026-04-05T22:09:10+00:00,1775426950.0,984.0,984,servergm,-2.6150000000000004e-06,-2.615,6.1e-05,61.0,low,run12
17,2026-04-05T22:10:11+00:00,1775427011.0,1045.0,1045,servergm,-5.0000000000000004e-08,-0.05,9.4e-05,94.0,low,run12
18,2026-04-05T22:11:13+00:00,1775427073.0,1107.0,1107,servergm,-4.6e-08,-0.046,9.6e-05,96.0,low,run12
19,2026-04-05T22:12:14+00:00,1775427134.0,1168.0,1168,servergm,-9.2e-08,-0.092,7.8e-05,78.0,low,run12
