sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T15:50:25+00:00,1775404225.0,0.0,0,servergm,-7.040000000000001e-07,-0.7040000000000001,0.00015099999999999998,150.99999999999997,high,run08
1,2026-04-05T15:51:27+00:00,1775404287.0,62.0,62,servergm,-1.4400000000000002e-07,-0.14400000000000002,0.000139,139.0,high,run08
2,2026-04-05T15:52:28+00:00,1775404348.0,123.0,123,servergm,-2.285e-06,-2.285,0.000139,139.0,high,run08
3,2026-04-05T15:53:30+00:00,1775404410.0,185.0,185,servergm,-4.85e-07,-0.48500000000000004,0.000149,149.0,high,run08
4,2026-04-05T15:54:31+00:00,1775404471.0,246.0,246,servergm,-5.5420000000000005e-06,-5.542000000000001,0.000195,195.0,high,run08
5,2026-04-05T15:55:33+00:00,1775404533.0,308.0,308,servergm,-1.343e-06,-1.3430000000000002,0.000143,143.0,high,run08
6,2026-04-05T15:56:34+00:00,1775404594.0,369.0,369,servergm,-5e-09,-0.005,0.000146,146.0,high,run08
7,2026-04-05T15:57:36+00:00,1775404656.0,431.0,431,servergm,-1.765e-06,-1.7650000000000001,0.00016199999999999998,161.99999999999997,high,run08
8,2026-04-05T15:58:37+00:00,1775404717.0,492.0,492,servergm,-1.119e-06,-1.119,0.000179,179.0,high,run08
9,2026-04-05T15:59:39+00:00,1775404779.0,554.0,554,servergm,-2.2e-05,-22.0,0.00013,130.0,high,run08
