sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T16:03:48+00:00,1775405028.0,0.0,0,servergm,-4.4500000000000003e-07,-0.445,3.9999999999999996e-05,40.0,high,run09
1,2026-04-05T16:04:50+00:00,1775405090.0,62.0,62,servergm,-1.331e-06,-1.331,4.1e-05,41.0,high,run09
2,2026-04-05T16:05:51+00:00,1775405151.0,123.0,123,servergm,-1.077e-06,-1.077,4.4999999999999996e-05,44.99999999999999,high,run09
3,2026-04-05T16:06:53+00:00,1775405213.0,185.0,185,servergm,-1.114e-06,-1.114,4.4999999999999996e-05,44.99999999999999,high,run09
4,2026-04-05T16:07:54+00:00,1775405274.0,246.0,246,servergm,-4.5450000000000005e-06,-4.545000000000001,4.4999999999999996e-05,44.99999999999999,high,run09
5,2026-04-05T16:08:56+00:00,1775405336.0,308.0,308,servergm,-3.66e-07,-0.36600000000000005,4.8e-05,48.0,high,run09
6,2026-04-05T16:09:57+00:00,1775405397.0,369.0,369,servergm,-1.5100000000000002e-07,-0.15100000000000002,5.2e-05,52.0,high,run09
7,2026-04-05T16:10:59+00:00,1775405459.0,431.0,431,servergm,-4.1400000000000003e-07,-0.41400000000000003,5.2e-05,52.0,high,run09
8,2026-04-05T16:12:00+00:00,1775405520.0,492.0,492,servergm,-2e-08,-0.02,5.3e-05,53.0,high,run09
9,2026-04-05T16:13:02+00:00,1775405582.0,554.0,554,servergm,-1e-09,-0.001,5.4999999999999995e-05,54.99999999999999,high,run09
