sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T16:03:48+00:00,1775405028.0,0.0,0,-1.0066e-05,-10.066,-1.0995e-05,-10.995000000000001,high,run09
1,2026-04-05T16:04:50+00:00,1775405090.0,62.0,62,-1.0626e-05,-10.626,-1.8391e-05,-18.391000000000002,high,run09
2,2026-04-05T16:05:51+00:00,1775405151.0,123.0,123,1.5e-08,0.015,-2.2912e-05,-22.912,high,run09
3,2026-04-05T16:06:53+00:00,1775405213.0,185.0,185,-5.69e-05,-56.9,-6.937e-05,-69.36999999999999,high,run09
4,2026-04-05T16:07:54+00:00,1775405274.0,246.0,246,-1.7062e-05,-17.062,-6.937e-05,-69.36999999999999,high,run09
5,2026-04-05T16:08:56+00:00,1775405336.0,308.0,308,3e-09,0.003,-1.6858e-05,-16.858,high,run09
6,2026-04-05T16:09:57+00:00,1775405397.0,369.0,369,-3.2801e-05,-32.801,-2.3283e-05,-23.283,high,run09
7,2026-04-05T16:10:59+00:00,1775405459.0,431.0,431,-9.047e-06,-9.047,-3.419e-05,-34.190000000000005,high,run09
8,2026-04-05T16:12:00+00:00,1775405520.0,492.0,492,-2.0007e-05,-20.007,-1.1543e-05,-11.543,high,run09
9,2026-04-05T16:13:02+00:00,1775405582.0,554.0,554,-1.5532e-05,-15.532,-1.4358e-05,-14.358,high,run09
