t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
8106.096,202801,281347,-1923683,16879,784546,0,ptp4l[8106.096]: rms 202801 max 281347 freq -1923683 +/- 16879 delay 784546 +/-   0,198.17399999999998,198,99,low,run10,client
8108.099,256227,361413,-1932126,16748,766960,35219,ptp4l[8108.099]: rms 256227 max 361413 freq -1932126 +/- 16748 delay 766960 +/- 35219,200.1770000000006,200,100,low,run10,client
8110.101,182918,194381,-1911648,18351,655066,0,ptp4l[8110.101]: rms 182918 max 194381 freq -1911648 +/- 18351 delay 655066 +/-   0,202.1790000000001,202,101,low,run10,client
8112.104,117418,156383,-1907686,10689,655066,0,ptp4l[8112.104]: rms 117418 max 156383 freq -1907686 +/- 10689 delay 655066 +/-   0,204.1820000000007,204,102,low,run10,client
8114.106,109290,134431,-1915640,10573,708947,33110,ptp4l[8114.106]: rms 109290 max 134431 freq -1915640 +/- 10573 delay 708947 +/- 33110,206.1840000000002,206,103,low,run10,client
8116.11,79831,104355,-1920191,3042,691534,15698,ptp4l[8116.110]: rms 79831 max 104355 freq -1920191 +/- 3042 delay 691534 +/- 15698,208.1880000000001,208,104,low,run10,client
8118.112,123090,138034,-1911279,12274,630894,16955,ptp4l[8118.112]: rms 123090 max 138034 freq -1911279 +/- 12274 delay 630894 +/- 16955,210.1900000000005,210,105,low,run10,client
8120.112,116900,160362,-1906760,10108,628180,16300,ptp4l[8120.112]: rms 116900 max 160362 freq -1906760 +/- 10108 delay 628180 +/- 16300,212.1900000000005,212,106,low,run10,client
8122.114,110237,153652,-1903521,6351,650998,0,ptp4l[8122.114]: rms 110237 max 153652 freq -1903521 +/- 6351 delay 650998 +/-   0,214.192,214,107,low,run10,client
8124.117,3617335,5112590,-1642782,246645,802204,61008,ptp4l[8124.117]: rms 3617335 max 5112590 freq -1642782 +/- 246645 delay 802204 +/- 61008,216.19500000000062,216,108,low,run10,client
8126.118,261542,348426,-1918719,23690,900038,10540,ptp4l[8126.118]: rms 261542 max 348426 freq -1918719 +/- 23690 delay 900038 +/- 10540,218.19600000000082,218,109,low,run10,client
8128.124,708931,1000519,-1860193,53738,1038878,0,ptp4l[8128.124]: rms 708931 max 1000519 freq -1860193 +/- 53738 delay 1038878 +/-   0,220.20200000000023,220,110,low,run10,client
8130.125,589105,653336,-1965932,6561,1212510,0,ptp4l[8130.125]: rms 589105 max 653336 freq -1965932 +/- 6561 delay 1212510 +/-   0,222.20300000000043,222,111,low,run10,client
8132.129,457200,545309,-1952933,10167,1023094,0,ptp4l[8132.129]: rms 457200 max 545309 freq -1952933 +/- 10167 delay 1023094 +/-   0,224.20700000000033,224,112,low,run10,client
8134.131,231571,325658,-1923431,18030,744657,95313,ptp4l[8134.131]: rms 231571 max 325658 freq -1923431 +/- 18030 delay 744657 +/- 95313,226.20900000000074,226,113,low,run10,client
8136.132,250587,329142,-1932181,10054,637974,0,ptp4l[8136.132]: rms 250587 max 329142 freq -1932181 +/- 10054 delay 637974 +/-   0,228.21000000000004,228,114,low,run10,client
8138.135,191269,238371,-1915021,18375,637974,0,ptp4l[8138.135]: rms 191269 max 238371 freq -1915021 +/- 18375 delay 637974 +/-   0,230.21300000000065,230,115,low,run10,client
8140.131,88775,122095,-1901774,4704,622438,12729,ptp4l[8140.131]: rms 88775 max 122095 freq -1901774 +/- 4704 delay 622438 +/- 12729,232.20900000000074,232,116,low,run10,client
8142.137,205438,290378,-1895099,15138,642382,0,ptp4l[8142.137]: rms 205438 max 290378 freq -1895099 +/- 15138 delay 642382 +/-   0,234.21500000000015,234,117,low,run10,client
8144.151,199054,281504,-1894809,14241,664977,0,ptp4l[8144.151]: rms 199054 max 281504 freq -1894809 +/- 14241 delay 664977 +/-   0,236.22900000000027,236,118,low,run10,client
8146.145,22174,29318,-1909631,2037,650937,0,ptp4l[8146.145]: rms 22174 max 29318 freq -1909631 +/- 2037 delay 650937 +/-   0,238.22300000000087,238,119,low,run10,client
