sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-06T06:53:46+00:00,1775458426.0,0.0,0,servergm,-6.32e-07,-0.632,2.4999999999999998e-05,24.999999999999996,high,run05
1,2026-04-06T06:54:47+00:00,1775458487.0,61.0,61,servergm,-5.560000000000001e-07,-0.556,4.2999999999999995e-05,42.99999999999999,high,run05
2,2026-04-06T06:55:48+00:00,1775458548.0,122.0,122,servergm,-1.46e-07,-0.14600000000000002,4.7e-05,47.0,high,run05
3,2026-04-06T06:56:50+00:00,1775458610.0,184.0,184,servergm,-9.099999999999999e-05,-90.99999999999999,8.8e-05,88.0,high,run05
4,2026-04-06T06:57:51+00:00,1775458671.0,245.0,245,servergm,-4.7860000000000004e-06,-4.7860000000000005,9.999999999999999e-05,99.99999999999999,high,run05
5,2026-04-06T06:58:53+00:00,1775458733.0,307.0,307,servergm,-2.2080000000000003e-06,-2.208,6.5e-05,65.0,high,run05
6,2026-04-06T06:59:54+00:00,1775458794.0,368.0,368,servergm,-5e-09,-0.005,8.599999999999999e-05,85.99999999999999,high,run05
7,2026-04-06T07:00:56+00:00,1775458856.0,430.0,430,servergm,-2.4000000000000003e-07,-0.24000000000000002,9.4e-05,94.0,high,run05
8,2026-04-06T07:01:57+00:00,1775458917.0,491.0,491,servergm,-3.0000000000000004e-09,-0.0030000000000000005,0.000106,106.0,high,run05
9,2026-04-06T07:02:59+00:00,1775458979.0,553.0,553,servergm,-1.01e-07,-0.101,7.9e-05,79.0,high,run05
10,2026-04-06T07:04:01+00:00,1775459041.0,615.0,615,servergm,-8.550000000000001e-07,-0.8550000000000001,4.9e-05,49.0,high,run05
11,2026-04-06T07:05:02+00:00,1775459102.0,676.0,676,servergm,-1.6200000000000002e-07,-0.16200000000000003,2.9999999999999997e-05,29.999999999999996,high,run05
12,2026-04-06T07:06:04+00:00,1775459164.0,738.0,738,servergm,-1.0560000000000001e-06,-1.056,7.599999999999999e-05,75.99999999999999,high,run05
13,2026-04-06T07:07:05+00:00,1775459225.0,799.0,799,servergm,-2.79e-07,-0.27899999999999997,0.000174,174.0,high,run05
14,2026-04-06T07:08:07+00:00,1775459287.0,861.0,861,servergm,-2.026e-06,-2.0260000000000002,0.000207,207.0,high,run05
15,2026-04-06T07:09:08+00:00,1775459348.0,922.0,922,servergm,1.3e-05,13.0,0.00041,410.0,high,run05
16,2026-04-06T07:10:10+00:00,1775459410.0,984.0,984,servergm,-4.86e-07,-0.486,0.00013199999999999998,131.99999999999997,high,run05
17,2026-04-06T07:11:12+00:00,1775459472.0,1046.0,1046,servergm,-2.1800000000000002e-07,-0.21800000000000003,0.000237,237.0,high,run05
18,2026-04-06T07:12:13+00:00,1775459533.0,1107.0,1107,servergm,-1.1500000000000001e-07,-0.115,0.00018899999999999999,189.0,high,run05
19,2026-04-06T07:13:15+00:00,1775459595.0,1169.0,1169,servergm,-9.999999999999999e-06,-10.0,9.9e-05,99.0,high,run05
