scenario,run_id,run_dir,system_time_mean_us,system_time_std_us,last_offset_mean_us,last_offset_std_us
high,run04,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run04,-65.83694999999999,73.86537655867778,-131.09615000000002,167.79034240863774
high,run05,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run05,-27.756400000000003,36.41497905417205,-47.542249999999996,61.00120350398188
high,run06,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run06,-31.041000000000004,38.49385496413681,-83.01745000000001,71.3935281524173
high,run07,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run07,-48.66029999999999,64.6140191494238,-34.1135,49.30946204330362
high,run08,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run08,-55.2481,47.11137973702654,-133.19735,92.08585448960974
high,run09,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run09,-41.52165000000001,35.43265276293071,-65.5518,62.100013959317025
high,run10,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run10,-17.724399999999996,19.525272757445194,-58.71005,42.66240275326249
high,run11,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run11,-24.0759,25.95760620075904,-25.10365,33.80036351451205
high,run12,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run12,-56.88645,58.244546245233614,-109.73515,100.35514904959183
high,run13,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run13,-10.953800000000001,12.665010497637304,-18.169549999999997,19.088230643583277
high,run14,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run14,-4.612399999999999,12.949118658893557,-25.33625,18.848266688073384
high,run15,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run15,-30.080149999999996,58.67651514719003,-69.9303,66.73760373763885
