scenario,run_id,run_dir,offset_mean_us,offset_std_us,stddev_mean_us,stddev_std_us
high,run05,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run05,-5.0937,20.604055610230564,116.8,90.88257316594397
high,run06,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run06,-9.298900000000001,15.269969168617413,105.75,70.38605947501999
high,run07,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run07,-3.10705,5.818406731408974,101.25,28.49538282082315
high,run08,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run08,-12.97475,22.655912902827957,112.3,46.55624781408307
high,run09,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run09,-8.310549999999997,16.21851647597828,106.35,43.05476928163402
high,run10,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run10,-1.96285,8.249366069902775,56.5792,33.70477992276622
high,run11,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run11,-1.8276000000000003,4.869112665298311,62.25,38.76362239332944
high,run12,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run12,-9.4726,20.501141650880655,113.2,62.09635975431123
high,run13,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run13,-1.48565,5.089119324856863,49.2586,32.644487005183265
high,run14,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run14,-3.4299499999999994,4.985273095776567,20.2,10.050399311260696
high,run15,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/chrony_clientchrony/high/run15,-5.9854,17.75401485328111,46.62025,42.642485622816416
