role,scenario,run_id,source_file,locked,convergence_time_s,best_master_reselection_count,rms_mean_ns_post,rms_std_ns_post,rms_p95_ns_post,rms_max_ns_post,max_mean_ns_post,max_max_ns_post,path_delay_mean_ns_post,path_delay_std_ns_post
client,medium,run08,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/medium/run08/ptp_client.log,True,26.93000000000029,4,633310.95,591751.7485124196,1485387.1999999993,3698342.0,832185.6666666666,5226521.0,637209.3666666667,170219.16401280792
client,medium,run09,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/medium/run09/ptp_client.log,True,27.42500000000109,1,706959.8380952381,814164.0602648607,1995429.3999999997,5551827.0,949795.1428571428,7850687.0,820888.0761904762,165294.06889795017
client,medium,run10,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/medium/run10/ptp_client.log,True,48.3130000000001,4,380001.9555555555,316536.6989915269,942525.5999999999,1601584.0,490604.5333333333,1838896.0,745770.6136363636,185314.46337826102
client,medium,run11,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/medium/run11/ptp_client.log,True,26.20799999999872,2,453607.1182795699,639971.0242942875,1145983.7999999984,4521186.0,608549.5591397849,6393903.0,591914.0752688173,174395.3445226651
client,medium,run12,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/medium/run12/ptp_client.log,True,27.436999999999898,2,748357.4337349398,1849928.985399507,1725470.9999999977,13427326.0,1019879.0240963856,18984997.0,653379.3373493976,155211.13313729418
client,medium,run13,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/medium/run13/ptp_client.log,True,26.704000000001543,1,588445.7904761905,1075031.691315743,1530288.4,8617299.0,789779.5714285715,12186590.0,784672.0095238095,129671.99335798231
client,medium,run14,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/medium/run14/ptp_client.log,True,26.028999999998632,2,529544.8297872341,795827.0099945012,1338454.7999999996,5125534.0,706932.840425532,7248004.0,779408.1808510638,178288.31532111746
client,medium,run15,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/medium/run15/ptp_client.log,True,25.828999999999724,1,519942.6698113208,847187.5332856382,1413586.25,6042348.0,691203.5943396227,8540162.0,765276.7904761905,103013.28217261551
client,high,run01,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run01/ptp_client.log,False,,0,,,,,,,,
client,high,run02,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run02/ptp_client.log,False,,1,,,,,,,,
client,high,run03,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run03/ptp_client.log,False,,1,,,,,,,,
client,high,run04,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run04/ptp_client.log,False,,2,,,,,,,,
client,high,run05,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run05/ptp_client.log,False,,0,,,,,,,,
client,high,run06,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run06/ptp_client.log,False,,1,,,,,,,,
client,high,run07,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run07/ptp_client.log,False,,2,,,,,,,,
client,high,run08,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run08/ptp_client.log,False,,0,,,,,,,,
client,high,run09,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run09/ptp_client.log,False,,3,,,,,,,,
client,high,run10,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run10/ptp_client.log,False,,3,,,,,,,,
client,high,run11,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run11/ptp_client.log,False,,2,,,,,,,,
client,high,run12,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run12/ptp_client.log,False,,0,,,,,,,,
client,high,run13,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run13/ptp_client.log,False,,1,,,,,,,,
client,high,run14,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run14/ptp_client.log,False,,2,,,,,,,,
client,high,run15,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ptp/high/run15/ptp_client.log,False,,0,,,,,,,,
