sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T21:05:52+00:00,1775423152.0,0.0,0,-2.573e-05,-25.73,-1.5381e-05,-15.381,low,run10
1,2026-04-05T21:06:54+00:00,1775423214.0,62.0,62,-1.3126e-05,-13.126,4.803e-06,4.803,low,run10
2,2026-04-05T21:07:56+00:00,1775423276.0,124.0,124,-8.8659e-05,-88.659,-7.2829e-05,-72.82900000000001,low,run10
3,2026-04-05T21:08:58+00:00,1775423338.0,186.0,186,-5.3914e-05,-53.914,-7.4769e-05,-74.769,low,run10
4,2026-04-05T21:10:00+00:00,1775423400.0,248.0,248,2.34e-07,0.234,-0.000213833,-213.833,low,run10
5,2026-04-05T21:11:02+00:00,1775423462.0,310.0,310,-5.0205e-05,-50.205,-4.6469e-05,-46.469,low,run10
6,2026-04-05T21:12:04+00:00,1775423524.0,372.0,372,1.43e-07,0.143,-4.001e-05,-40.01,low,run10
7,2026-04-05T21:13:05+00:00,1775423585.0,433.0,433,-0.000114199,-114.199,-0.000280322,-280.322,low,run10
8,2026-04-05T21:14:08+00:00,1775423648.0,496.0,496,-5.7698e-05,-57.698,-0.000141893,-141.893,low,run10
9,2026-04-05T21:15:09+00:00,1775423709.0,557.0,557,-3.2276e-05,-32.276,2.3808e-05,23.808,low,run10
10,2026-04-05T21:16:11+00:00,1775423771.0,619.0,619,-0.000158573,-158.57299999999998,-0.000174671,-174.671,low,run10
11,2026-04-05T21:17:14+00:00,1775423834.0,682.0,682,-0.000181762,-181.762,-0.000245133,-245.13300000000004,low,run10
12,2026-04-05T21:18:15+00:00,1775423895.0,743.0,743,-3.2426e-05,-32.425999999999995,-2.7861e-05,-27.861,low,run10
13,2026-04-05T21:19:17+00:00,1775423957.0,805.0,805,-3.0586e-05,-30.586000000000002,-8.2191e-05,-82.191,low,run10
14,2026-04-05T21:20:19+00:00,1775424019.0,867.0,867,3.6e-08,0.036,-0.000223342,-223.34199999999998,low,run10
15,2026-04-05T21:21:21+00:00,1775424081.0,929.0,929,-0.0002836,-283.6,-0.000306769,-306.76899999999995,low,run10
16,2026-04-05T21:22:22+00:00,1775424142.0,990.0,990,-5.8535e-05,-58.535000000000004,-4.2936e-05,-42.936,low,run10
17,2026-04-05T21:23:25+00:00,1775424205.0,1053.0,1053,-4.4595e-05,-44.595000000000006,-4.5586e-05,-45.586,low,run10
18,2026-04-05T21:24:26+00:00,1775424266.0,1114.0,1114,-1.1527e-05,-11.527,1.941e-06,1.941,low,run10
19,2026-04-05T21:25:28+00:00,1775424328.0,1176.0,1176,4.0457e-05,40.457,3.6269e-05,36.269,low,run10
