sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T14:57:39+00:00,1775401059.0,0.0,0,-1.2986e-05,-12.986,-5.1e-07,-0.51,high,run04
1,2026-04-05T14:58:41+00:00,1775401121.0,62.0,62,-7.325e-06,-7.325,1.594e-06,1.5939999999999999,high,run04
2,2026-04-05T14:59:42+00:00,1775401182.0,123.0,123,-9.476e-06,-9.476,-4.591e-06,-4.591,high,run04
3,2026-04-05T15:00:44+00:00,1775401244.0,185.0,185,-3.593e-05,-35.93000000000001,-6.2448e-05,-62.44799999999999,high,run04
4,2026-04-05T15:01:45+00:00,1775401305.0,246.0,246,4e-09,0.004,-1.4815e-05,-14.815,high,run04
5,2026-04-05T15:02:47+00:00,1775401367.0,308.0,308,-3.111e-06,-3.1109999999999998,8.594e-06,8.594,high,run04
6,2026-04-05T15:03:48+00:00,1775401428.0,369.0,369,-1.0743e-05,-10.743,-9.548e-06,-9.548,high,run04
7,2026-04-05T15:04:50+00:00,1775401490.0,431.0,431,-4.107e-06,-4.107,2.324e-06,2.3240000000000003,high,run04
8,2026-04-05T15:05:51+00:00,1775401551.0,492.0,492,-7.108e-06,-7.1080000000000005,-4.234e-06,-4.234,high,run04
9,2026-04-05T15:06:53+00:00,1775401613.0,554.0,554,-1.7407e-05,-17.407,-9.309e-06,-9.309,high,run04
