scenario,section,metric,source,n_points_curve,n_runs_min,n_runs_max,curve_mean_of_mean,curve_std_of_mean,curve_min_of_mean,curve_q10_of_mean,curve_q25_of_mean,curve_median_of_mean,curve_q75_of_mean,curve_q90_of_mean,curve_max_of_mean,curve_range_of_mean,curve_iqr_of_mean,curve_cv_of_mean,curve_mean_of_std,curve_std_of_std,curve_max_of_std,curve_mean_iqr_width,curve_std_iqr_width,curve_median_iqr_width,curve_max_iqr_width,curve_mean_p10p90_width,curve_std_p10p90_width,curve_median_p10p90_width,curve_max_p10p90_width
high,tracking,system_time_us,aggregated_curve_over_sample_idx,10,15,15,-22.46584,6.852308,-33.7632,-29.92884,-27.710083,-20.708333,-18.16485,-14.285733,-12.695733,21.067467,9.545233,-0.30501,31.373193,16.063,70.781329,27.0402,7.980069,27.63425,43.2485,57.64098,21.39461,57.4277,84.1636
high,tracking,last_offset_us,aggregated_curve_over_sample_idx,10,15,15,-33.156633,11.088298,-52.485933,-49.553433,-36.82285,-31.597467,-26.335383,-23.693413,-15.972733,36.5132,10.487467,-0.334422,52.786535,27.899107,87.886798,31.55825,13.035147,28.332,54.8765,65.07072,22.048071,73.0207,95.4984
