scenario,section,source_name,metric,source,n_points_curve,n_runs_min,n_runs_max,curve_mean_of_mean,curve_std_of_mean,curve_min_of_mean,curve_q10_of_mean,curve_q25_of_mean,curve_median_of_mean,curve_q75_of_mean,curve_q90_of_mean,curve_max_of_mean,curve_range_of_mean,curve_iqr_of_mean,curve_cv_of_mean,curve_mean_of_std,curve_std_of_std,curve_max_of_std,curve_mean_iqr_width,curve_std_iqr_width,curve_median_iqr_width,curve_max_iqr_width,curve_mean_p10p90_width,curve_std_p10p90_width,curve_median_p10p90_width,curve_max_p10p90_width
high,sourcestats,servergm,offset_us,aggregated_curve_over_sample_idx,10,15,15,-2.122453,3.022185,-10.5876,-2.95452,-1.582233,-1.300933,-0.957817,-0.48446,-0.2462,10.3414,0.624417,-1.423911,6.444621,11.978356,40.22834,0.70905,0.57513,0.457,1.969,2.35484,2.151919,1.2533,7.274
high,sourcestats,servergm,stddev_us,aggregated_curve_over_sample_idx,10,15,15,137.44,5.770183,127.266667,130.746667,135.216667,136.733333,141.016667,145.08,145.2,17.933333,5.8,0.041983,57.754848,6.915011,68.348547,64.1,9.53881,64.25,84.5,136.5,13.028601,140.1,154.2
