sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T12:32:46+00:00,1775392366.0,0.0,0,1.405e-05,14.049999999999999,1.4024e-05,14.024,medium,run08
1,2026-04-05T12:33:47+00:00,1775392427.0,61.0,61,0.002323197,2323.197,0.002346387,2346.387,medium,run08
2,2026-04-05T12:34:49+00:00,1775392489.0,123.0,123,0.000829208,829.208,0.000641712,641.712,medium,run08
3,2026-04-05T12:35:50+00:00,1775392550.0,184.0,184,8.696e-05,86.96,9.164e-05,91.64,medium,run08
4,2026-04-05T12:36:52+00:00,1775392612.0,246.0,246,7.3e-08,0.07300000000000001,4.7114e-05,47.114000000000004,medium,run08
5,2026-04-05T12:37:53+00:00,1775392673.0,307.0,307,2.8e-08,0.028,-0.000153979,-153.97899999999998,medium,run08
6,2026-04-05T12:38:55+00:00,1775392735.0,369.0,369,-0.000144573,-144.573,-0.000365473,-365.473,medium,run08
7,2026-04-05T12:39:56+00:00,1775392796.0,430.0,430,-0.000371387,-371.387,-0.000403395,-403.39500000000004,medium,run08
8,2026-04-05T12:40:58+00:00,1775392858.0,492.0,492,4e-08,0.04,-0.000403395,-403.39500000000004,medium,run08
9,2026-04-05T12:42:00+00:00,1775392920.0,554.0,554,3.9e-08,0.039,-0.000403395,-403.39500000000004,medium,run08
