t,offset_ns,servo_state,freq_raw,path_delay_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
13632.168,966780,0,-5461780,647696,ptp4l[13632.168]: master offset     966780 s0 freq -5461780 path delay    647696,0.0,0,0,medium,run14,boundary
13633.168,-444467,0,-5461780,956524,ptp4l[13633.168]: master offset    -444467 s0 freq -5461780 path delay    956524,1.0,1,1,medium,run14,boundary
13634.167,-749724,0,-5461780,956524,ptp4l[13634.167]: master offset    -749724 s0 freq -5461780 path delay    956524,1.9989999999997963,2,2,medium,run14,boundary
13635.17,-373987,0,-5461780,613425,ptp4l[13635.170]: master offset    -373987 s0 freq -5461780 path delay    613425,3.0020000000004075,3,3,medium,run14,boundary
13636.171,-163626,0,-5461780,613425,ptp4l[13636.171]: master offset    -163626 s0 freq -5461780 path delay    613425,4.003000000000611,4,4,medium,run14,boundary
13637.172,72471,0,-5461780,616892,ptp4l[13637.172]: master offset      72471 s0 freq -5461780 path delay    616892,5.004000000000815,5,5,medium,run14,boundary
13638.172,-131324,0,-5461780,587701,ptp4l[13638.172]: master offset    -131324 s0 freq -5461780 path delay    587701,6.004000000000815,6,6,medium,run14,boundary
13639.175,33088,0,-5461780,586894,ptp4l[13639.175]: master offset      33088 s0 freq -5461780 path delay    586894,7.006999999999607,7,7,medium,run14,boundary
13640.175,-348336,0,-5461780,586894,ptp4l[13640.175]: master offset    -348336 s0 freq -5461780 path delay    586894,8.006999999999607,8,8,medium,run14,boundary
13641.178,2036648,0,-5461780,582621,ptp4l[13641.178]: master offset    2036648 s0 freq -5461780 path delay    582621,9.010000000000218,9,9,medium,run14,boundary
13642.176,-220226,0,-5461780,582621,ptp4l[13642.176]: master offset    -220226 s0 freq -5461780 path delay    582621,10.00799999999981,10,10,medium,run14,boundary
13643.177,59316,0,-5461780,586894,ptp4l[13643.177]: master offset      59316 s0 freq -5461780 path delay    586894,11.009000000000015,11,11,medium,run14,boundary
13644.177,-229148,0,-5461780,586894,ptp4l[13644.177]: master offset    -229148 s0 freq -5461780 path delay    586894,12.009000000000015,12,12,medium,run14,boundary
