sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-06T10:03:16+00:00,1775469796.0,0.0,0,-2.156e-06,-2.156,-1.496e-06,-1.496,high,run13
1,2026-04-06T10:04:18+00:00,1775469858.0,62.0,62,1.628e-06,1.628,1.3023e-05,13.023,high,run13
2,2026-04-06T10:05:19+00:00,1775469919.0,123.0,123,-6.113e-06,-6.1129999999999995,-1.4339e-05,-14.338999999999999,high,run13
3,2026-04-06T10:06:20+00:00,1775469980.0,184.0,184,-1.9525e-05,-19.525,-2.6684e-05,-26.684,high,run13
4,2026-04-06T10:07:22+00:00,1775470042.0,246.0,246,-1.7766e-05,-17.766,-1.4609e-05,-14.609,high,run13
5,2026-04-06T10:08:23+00:00,1775470103.0,307.0,307,-8.09e-07,-0.809,-3.4e-06,-3.4,high,run13
6,2026-04-06T10:09:25+00:00,1775470165.0,369.0,369,-3.8938e-05,-38.938,-4.7914e-05,-47.914,high,run13
7,2026-04-06T10:10:26+00:00,1775470226.0,430.0,430,-2.313e-06,-2.313,-7.434e-06,-7.434,high,run13
8,2026-04-06T10:11:27+00:00,1775470287.0,491.0,491,-1.9433e-05,-19.433,9.323e-06,9.323,high,run13
9,2026-04-06T10:12:29+00:00,1775470349.0,553.0,553,-3.2876e-05,-32.876000000000005,-2.7619e-05,-27.619,high,run13
10,2026-04-06T10:13:30+00:00,1775470410.0,614.0,614,-3.2348e-05,-32.348000000000006,-3.7976e-05,-37.976,high,run13
11,2026-04-06T10:14:32+00:00,1775470472.0,676.0,676,-1.7701e-05,-17.701,-1.6364e-05,-16.364,high,run13
12,2026-04-06T10:15:36+00:00,1775470536.0,740.0,740,7.4e-08,0.074,-6.6517e-05,-66.517,high,run13
13,2026-04-06T10:16:37+00:00,1775470597.0,801.0,801,-8.771e-06,-8.770999999999999,-9.395e-06,-9.395000000000001,high,run13
14,2026-04-06T10:17:39+00:00,1775470659.0,863.0,863,1e-09,0.001,-5.16e-07,-0.516,high,run13
15,2026-04-06T10:18:45+00:00,1775470725.0,929.0,929,1.1e-08,0.011,-3.1248e-05,-31.248000000000005,high,run13
16,2026-04-06T10:19:51+00:00,1775470791.0,995.0,995,9e-09,0.009,-3.1615e-05,-31.615000000000002,high,run13
17,2026-04-06T10:20:52+00:00,1775470852.0,1056.0,1056,-1.6344e-05,-16.344,-1.819e-05,-18.19,high,run13
18,2026-04-06T10:21:54+00:00,1775470914.0,1118.0,1118,-1.251e-06,-1.251,-1.819e-05,-18.19,high,run13
19,2026-04-06T10:22:56+00:00,1775470976.0,1180.0,1180,-4.455e-06,-4.455,-1.2231e-05,-12.231,high,run13
