scenario,section,metric,source,n_runs_total,n_total_rows,n_valid,mean,std,min,q10,q25,median,q75,q90,max,range,iqr,cv
low,tracking,system_time_us,all_raw_samples_across_runs,15,150,150,97.40716,418.690512,-1805.871,-92.8242,-18.76175,0.003,0.1825,425.3271,2342.321,4148.192,18.94425,4.298355
low,tracking,last_offset_us,all_raw_samples_across_runs,15,150,150,184.04092,726.464599,-1280.615,-380.122,-90.569,-16.063,254.095,1287.2884,4116.418,5397.033,344.664,3.947299
