scenario,section,source_name,metric,source,n_runs_total,n_total_rows,n_valid,mean,std,min,q10,q25,median,q75,q90,max,range,iqr,cv
low,sourcestats,servergm,offset_us,all_raw_samples_across_runs,15,150,150,2.9349,68.012416,-184.0,-34.6,-8.1855,-0.5555,6.6975,37.2,555.0,739.0,14.883,23.173674
low,sourcestats,servergm,stddev_us,all_raw_samples_across_runs,15,150,150,190.046667,252.465888,23.0,39.0,94.0,123.0,161.0,306.3,1622.0,1599.0,67.0,1.328442
