scenario,section,metric,source,n_points_curve,n_runs_min,n_runs_max,curve_mean_of_mean,curve_std_of_mean,curve_min_of_mean,curve_q10_of_mean,curve_q25_of_mean,curve_median_of_mean,curve_q75_of_mean,curve_q90_of_mean,curve_max_of_mean,curve_range_of_mean,curve_iqr_of_mean,curve_cv_of_mean,curve_mean_of_std,curve_std_of_std,curve_max_of_std,curve_mean_iqr_width,curve_std_iqr_width,curve_median_iqr_width,curve_max_iqr_width,curve_mean_p10p90_width,curve_std_p10p90_width,curve_median_p10p90_width,curve_max_p10p90_width
low,tracking,system_time_us,aggregated_curve_over_sample_idx,10,15,15,97.40716,92.120631,-57.631467,9.751953,40.1269,88.954367,168.199033,214.40152,227.575,285.206467,128.072133,0.945728,379.355318,195.725299,647.408605,115.127,91.895418,125.53425,240.468,461.0103,256.455534,470.7561,817.4396
low,tracking,last_offset_us,aggregated_curve_over_sample_idx,10,15,15,184.04092,79.919565,97.0326,113.93292,141.374267,170.419333,194.38115,236.080313,385.368533,288.335933,53.006883,0.434249,715.293898,220.789662,1266.422228,308.7319,199.072949,338.667,642.14,1282.0995,442.817961,1235.3371,2130.3908
