scenario,section,source_name,metric,source,n_points_curve,n_runs_min,n_runs_max,curve_mean_of_mean,curve_std_of_mean,curve_min_of_mean,curve_q10_of_mean,curve_q25_of_mean,curve_median_of_mean,curve_q75_of_mean,curve_q90_of_mean,curve_max_of_mean,curve_range_of_mean,curve_iqr_of_mean,curve_cv_of_mean,curve_mean_of_std,curve_std_of_std,curve_max_of_std,curve_mean_iqr_width,curve_std_iqr_width,curve_median_iqr_width,curve_max_iqr_width,curve_mean_p10p90_width,curve_std_p10p90_width,curve_median_p10p90_width,curve_max_p10p90_width
low,sourcestats,servergm,offset_us,aggregated_curve_over_sample_idx,10,15,15,2.9349,16.824178,-18.383,-11.90222,-7.709083,2.4896,7.424617,17.228827,41.717467,60.100467,15.1337,5.732454,57.965647,37.860772,159.866514,20.68965,15.908201,15.79475,59.0,74.97624,32.182639,66.1714,138.4894
low,sourcestats,servergm,stddev_us,aggregated_curve_over_sample_idx,10,15,15,190.046667,53.570289,105.8,117.32,151.35,207.366667,221.616667,242.84,268.4,162.6,70.266667,0.28188,228.367116,119.804052,420.155379,72.6,12.628891,67.5,91.0,359.8,175.548411,417.4,537.4
