t,type,port,from,to,reason,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
18300.203,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[18300.203]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,132.21000000000276,132,32,high,run14,boundary
18300.204,best_master,,,,2232d9.fffe.d23fa0,ptp4l[18300.204]: selected best master clock 2232d9.fffe.d23fa0,132.21100000000297,132,33,high,run14,boundary
18300.204,ptp_timescale_mismatch,,,,,ptp4l[18300.204]: foreign master not using PTP timescale,132.21100000000297,132,34,high,run14,boundary
18302.228,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[18302.228]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),134.23500000000058,134,35,high,run14,boundary
18318.23,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[18318.230]: port 2: FAULTY to LISTENING on INIT_COMPLETE,150.237000000001,150,36,high,run14,boundary
18325.815,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[18325.815]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,157.82200000000012,158,37,high,run14,boundary
18325.815,best_master,,,,2232d9.fffe.d23fa0,ptp4l[18325.815]: selected best master clock 2232d9.fffe.d23fa0,157.82200000000012,158,38,high,run14,boundary
18325.815,ptp_timescale_mismatch,,,,,ptp4l[18325.815]: foreign master not using PTP timescale,157.82200000000012,158,39,high,run14,boundary
18326.839,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[18326.839]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),158.84600000000137,159,40,high,run14,boundary
18342.841,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[18342.841]: port 2: FAULTY to LISTENING on INIT_COMPLETE,174.84800000000178,175,41,high,run14,boundary
18349.747,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[18349.747]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,181.75400000000081,182,42,high,run14,boundary
18349.748,best_master,,,,2232d9.fffe.d23fa0,ptp4l[18349.748]: selected best master clock 2232d9.fffe.d23fa0,181.75500000000102,182,43,high,run14,boundary
18349.748,ptp_timescale_mismatch,,,,,ptp4l[18349.748]: foreign master not using PTP timescale,181.75500000000102,182,44,high,run14,boundary
18350.772,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[18350.772]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),182.77900000000227,183,45,high,run14,boundary
18366.775,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[18366.775]: port 2: FAULTY to LISTENING on INIT_COMPLETE,198.78200000000288,199,46,high,run14,boundary
18374.073,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[18374.073]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,206.08000000000175,206,47,high,run14,boundary
18374.074,best_master,,,,2232d9.fffe.d23fa0,ptp4l[18374.074]: selected best master clock 2232d9.fffe.d23fa0,206.08100000000195,206,48,high,run14,boundary
18374.074,ptp_timescale_mismatch,,,,,ptp4l[18374.074]: foreign master not using PTP timescale,206.08100000000195,206,49,high,run14,boundary
18375.097,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[18375.097]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),207.104000000003,207,50,high,run14,boundary
18391.1,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[18391.100]: port 2: FAULTY to LISTENING on INIT_COMPLETE,223.10699999999997,223,51,high,run14,boundary
18398.762,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[18398.762]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,230.76900000000023,231,52,high,run14,boundary
18398.762,best_master,,,,2232d9.fffe.d23fa0,ptp4l[18398.762]: selected best master clock 2232d9.fffe.d23fa0,230.76900000000023,231,53,high,run14,boundary
18398.762,ptp_timescale_mismatch,,,,,ptp4l[18398.762]: foreign master not using PTP timescale,230.76900000000023,231,54,high,run14,boundary
18399.787,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[18399.787]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),231.7940000000017,232,55,high,run14,boundary
18415.79,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[18415.790]: port 2: FAULTY to LISTENING on INIT_COMPLETE,247.7970000000023,248,56,high,run14,boundary
