sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T21:29:20+00:00,1775424560.0,0.0,0,-2.5056e-05,-25.055999999999997,-5.628e-06,-5.628,low,run11
1,2026-04-05T21:30:23+00:00,1775424623.0,63.0,63,-2.3709e-05,-23.709,-8.279e-06,-8.279,low,run11
2,2026-04-05T21:31:24+00:00,1775424684.0,124.0,124,-2.6668e-05,-26.668,-1.4611e-05,-14.610999999999999,low,run11
3,2026-04-05T21:32:26+00:00,1775424746.0,186.0,186,-1.3503e-05,-13.503,1.5512e-05,15.512,low,run11
4,2026-04-05T21:33:28+00:00,1775424808.0,248.0,248,-2.1747e-05,-21.747,-1.962e-06,-1.962,low,run11
5,2026-04-05T21:34:30+00:00,1775424870.0,310.0,310,2.808e-06,2.808,-9.082e-06,-9.082,low,run11
6,2026-04-05T21:35:31+00:00,1775424931.0,371.0,371,-1.9665e-05,-19.665,-3.849e-06,-3.8489999999999998,low,run11
7,2026-04-05T21:36:34+00:00,1775424994.0,434.0,434,-1.3824e-05,-13.824,-5.292e-06,-5.292000000000001,low,run11
8,2026-04-05T21:37:35+00:00,1775425055.0,495.0,495,-1.6726e-05,-16.726,-3.5873e-05,-35.873,low,run11
9,2026-04-05T21:38:37+00:00,1775425117.0,557.0,557,-2.631e-06,-2.631,-3.005e-06,-3.005,low,run11
10,2026-04-05T21:39:38+00:00,1775425178.0,618.0,618,-2.6529e-05,-26.529,-2.3516e-05,-23.516,low,run11
11,2026-04-05T21:40:40+00:00,1775425240.0,680.0,680,-7.4263e-05,-74.263,-8.8454e-05,-88.45400000000001,low,run11
12,2026-04-05T21:41:43+00:00,1775425303.0,743.0,743,-4.3706e-05,-43.705999999999996,-2.4396e-05,-24.396,low,run11
13,2026-04-05T21:42:44+00:00,1775425364.0,804.0,804,-1.6196e-05,-16.195999999999998,-3.05e-06,-3.05,low,run11
14,2026-04-05T21:43:46+00:00,1775425426.0,866.0,866,-1.1789e-05,-11.789,-4.428e-06,-4.428,low,run11
15,2026-04-05T21:44:48+00:00,1775425488.0,928.0,928,-1.8432e-05,-18.432,-1.1893e-05,-11.892999999999999,low,run11
16,2026-04-05T21:45:50+00:00,1775425550.0,990.0,990,-6.091e-06,-6.091,4.381e-06,4.381,low,run11
17,2026-04-05T21:46:51+00:00,1775425611.0,1051.0,1051,-2.6115e-05,-26.115,-4.958e-06,-4.958,low,run11
18,2026-04-05T21:47:53+00:00,1775425673.0,1113.0,1113,-3.5819e-05,-35.818999999999996,-1.1318e-05,-11.318000000000001,low,run11
19,2026-04-05T21:48:56+00:00,1775425736.0,1176.0,1176,-0.000104603,-104.603,-0.000151628,-151.62800000000001,low,run11
