t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
12906.302,103728,121771,2687379,10239,407474,12278,ptp4l[12906.302]: rms 103728 max 121771 freq +2687379 +/- 10239 delay 407474 +/- 12278,161.1999999999989,161,67,medium,run11,client
12908.301,1324280,1821586,2800312,69110,400035,13717,ptp4l[12908.301]: rms 1324280 max 1821586 freq +2800312 +/- 69110 delay 400035 +/- 13717,163.1989999999987,163,68,medium,run11,client
12910.302,734897,1002464,2752309,36912,489594,11564,ptp4l[12910.302]: rms 734897 max 1002464 freq +2752309 +/- 36912 delay 489594 +/- 11564,165.1999999999989,165,69,medium,run11,client
12912.309,303064,307695,2689600,30452,600998,53054,ptp4l[12912.309]: rms 303064 max 307695 freq +2689600 +/- 30452 delay 600998 +/- 53054,167.20699999999852,167,70,medium,run11,client
12914.308,209957,261102,2668588,6116,684244,0,ptp4l[12914.308]: rms 209957 max 261102 freq +2668588 +/- 6116 delay 684244 +/-   0,169.20600000000013,169,71,medium,run11,client
12916.31,149182,185481,2674088,4340,630111,6967,ptp4l[12916.310]: rms 149182 max 185481 freq +2674088 +/- 4340 delay 630111 +/- 6967,171.20799999999872,171,72,medium,run11,client
12918.308,67808,93744,2682532,3724,630111,6967,ptp4l[12918.308]: rms 67808 max 93744 freq +2682532 +/- 3724 delay 630111 +/- 6967,173.20600000000013,173,73,medium,run11,client
12920.312,750250,900204,2762283,17381,648532,0,ptp4l[12920.312]: rms 750250 max 900204 freq +2762283 +/- 17381 delay 648532 +/-   0,175.20999999999913,175,74,medium,run11,client
12922.294,267614,277749,2662506,1172,606056,43374,ptp4l[12922.294]: rms 267614 max 277749 freq +2662506 +/- 1172 delay 606056 +/- 43374,177.1919999999991,177,75,medium,run11,client
12924.321,57951,68239,2694881,1120,515003,28669,ptp4l[12924.321]: rms 57951 max 68239 freq +2694881 +/- 1120 delay 515003 +/- 28669,179.21899999999914,179,76,medium,run11,client
12926.32,125679,171498,2700264,6327,521375,0,ptp4l[12926.320]: rms 125679 max 171498 freq +2700264 +/- 6327 delay 521375 +/-   0,181.21799999999894,181,77,medium,run11,client
12929.322,136196,192007,2700002,8831,582919,0,ptp4l[12929.322]: rms 136196 max 192007 freq +2700002 +/- 8831 delay 582919 +/-   0,184.21999999999935,184,78,medium,run11,client
12931.318,87226,107360,2687324,8459,585212,2294,ptp4l[12931.318]: rms 87226 max 107360 freq +2687324 +/- 8459 delay 585212 +/- 2294,186.21599999999853,186,79,medium,run11,client
12933.333,172748,215545,2706351,5135,617137,0,ptp4l[12933.333]: rms 172748 max 215545 freq +2706351 +/- 5135 delay 617137 +/-   0,188.23099999999977,188,80,medium,run11,client
12935.327,973072,1371695,2753571,74791,617137,0,ptp4l[12935.327]: rms 973072 max 1371695 freq +2753571 +/- 74791 delay 617137 +/-   0,190.22499999999854,190,81,medium,run11,client
12937.334,278703,394138,2671215,19830,653102,0,ptp4l[12937.334]: rms 278703 max 394138 freq +2671215 +/- 19830 delay 653102 +/-   0,192.23199999999997,192,82,medium,run11,client
12939.327,330904,431863,2659800,12797,653102,0,ptp4l[12939.327]: rms 330904 max 431863 freq +2659800 +/- 12797 delay 653102 +/-   0,194.22499999999854,194,83,medium,run11,client
12941.325,542303,761225,2733728,33345,603310,0,ptp4l[12941.325]: rms 542303 max 761225 freq +2733728 +/- 33345 delay 603310 +/-   0,196.22299999999996,196,84,medium,run11,client
12943.334,179399,230494,2697277,16941,483086,11402,ptp4l[12943.334]: rms 179399 max 230494 freq +2697277 +/- 16941 delay 483086 +/- 11402,198.23199999999997,198,85,medium,run11,client
12945.325,56616,67787,2685559,1237,486774,20586,ptp4l[12945.325]: rms 56616 max 67787 freq +2685559 +/- 1237 delay 486774 +/- 20586,200.22299999999996,200,86,medium,run11,client
12947.335,175224,225432,2707690,6240,498482,0,ptp4l[12947.335]: rms 175224 max 225432 freq +2707690 +/- 6240 delay 498482 +/-   0,202.23299999999836,202,87,medium,run11,client
12949.344,163123,225194,2700206,13875,498482,0,ptp4l[12949.344]: rms 163123 max 225194 freq +2700206 +/- 13875 delay 498482 +/-   0,204.24199999999837,204,88,medium,run11,client
12951.341,135119,189547,2680755,8362,500761,3223,ptp4l[12951.341]: rms 135119 max 189547 freq +2680755 +/- 8362 delay 500761 +/- 3223,206.23899999999958,206,89,medium,run11,client
12953.345,4521186,6393903,3018230,318902,525226,19908,ptp4l[12953.345]: rms 4521186 max 6393903 freq +3018230 +/- 318902 delay 525226 +/- 19908,208.24299999999857,208,90,medium,run11,client
12955.339,846493,1007066,2781623,18495,566758,21624,ptp4l[12955.339]: rms 846493 max 1007066 freq +2781623 +/- 18495 delay 566758 +/- 21624,210.23699999999917,210,91,medium,run11,client
12957.364,371169,456348,2663039,9719,611849,0,ptp4l[12957.364]: rms 371169 max 456348 freq +2663039 +/- 9719 delay 611849 +/-   0,212.2619999999988,212,92,medium,run11,client
12959.352,171162,238500,2688761,14112,626093,20145,ptp4l[12959.352]: rms 171162 max 238500 freq +2688761 +/- 14112 delay 626093 +/- 20145,214.25,214,93,medium,run11,client
12961.349,155601,220051,2687319,11045,611849,0,ptp4l[12961.349]: rms 155601 max 220051 freq +2687319 +/- 11045 delay 611849 +/-   0,216.2469999999994,216,94,medium,run11,client
12963.367,142299,200724,2688878,10857,560755,26406,ptp4l[12963.367]: rms 142299 max 200724 freq +2688878 +/- 10857 delay 560755 +/- 26406,218.26499999999942,218,95,medium,run11,client
12965.375,956859,1303159,2745308,84040,525214,0,ptp4l[12965.375]: rms 956859 max 1303159 freq +2745308 +/- 84040 delay 525214 +/-   0,220.27299999999923,220,96,medium,run11,client
12967.358,139684,187787,2692551,12486,531440,10368,ptp4l[12967.358]: rms 139684 max 187787 freq +2692551 +/- 12486 delay 531440 +/- 10368,222.2559999999994,222,97,medium,run11,client
12969.368,684399,946138,2736855,57610,526918,11854,ptp4l[12969.368]: rms 684399 max 946138 freq +2736855 +/- 57610 delay 526918 +/- 11854,224.26599999999962,224,98,medium,run11,client
12971.366,189719,203318,2698119,19007,515064,0,ptp4l[12971.366]: rms 189719 max 203318 freq +2698119 +/- 19007 delay 515064 +/-   0,226.2639999999992,226,99,medium,run11,client
12973.37,262521,277694,2697901,26329,555582,29058,ptp4l[12973.370]: rms 262521 max 277694 freq +2697901 +/- 26329 delay 555582 +/- 29058,228.26800000000003,228,100,medium,run11,client
12975.376,247121,275945,2674715,3212,591980,22358,ptp4l[12975.376]: rms 247121 max 275945 freq +2674715 +/- 3212 delay 591980 +/- 22358,230.27399999999943,230,101,medium,run11,client
12977.376,52717,64901,2693949,1443,507504,7627,ptp4l[12977.376]: rms 52717 max 64901 freq +2693949 +/- 1443 delay 507504 +/- 7627,232.27399999999943,232,102,medium,run11,client
12979.377,620080,846176,2729988,54241,446466,0,ptp4l[12979.377]: rms 620080 max 846176 freq +2729988 +/- 54241 delay 446466 +/-   0,234.27499999999964,234,103,medium,run11,client
12981.38,165947,197935,2683185,3691,518291,0,ptp4l[12981.380]: rms 165947 max 197935 freq +2683185 +/- 3691 delay 518291 +/-   0,236.27799999999843,236,104,medium,run11,client
12983.38,823837,1162727,2762326,54397,446466,0,ptp4l[12983.380]: rms 823837 max 1162727 freq +2762326 +/- 54397 delay 446466 +/-   0,238.27799999999843,238,105,medium,run11,client
12985.38,219013,261553,2678855,4913,454615,49004,ptp4l[12985.380]: rms 219013 max 261553 freq +2678855 +/- 4913 delay 454615 +/- 49004,240.27799999999843,240,106,medium,run11,client
