scenario,role,metric,source,n_points_curve,n_runs_min,n_runs_max,curve_mean_of_mean,curve_std_of_mean,curve_min_of_mean,curve_q10_of_mean,curve_q25_of_mean,curve_median_of_mean,curve_q75_of_mean,curve_q90_of_mean,curve_max_of_mean,curve_range_of_mean,curve_iqr_of_mean,curve_cv_of_mean,curve_mean_of_std,curve_std_of_std,curve_max_of_std,curve_mean_iqr_width,curve_std_iqr_width,curve_median_iqr_width,curve_max_iqr_width,curve_mean_p10p90_width,curve_std_p10p90_width,curve_median_p10p90_width,curve_max_p10p90_width
low,client,offset_ms,aggregated_curve_over_sample_idx,100,14,15,-1.623371,1.245398,-2.9819,-2.753688,-2.70356,-2.206063,0.0,0.0,0.0,2.9819,2.70356,-0.767168,0.553511,0.483836,1.476075,0.384985,0.408961,0.3378,2.84755,0.795407,0.716558,0.88284,3.09882
low,client,jitter_ms,aggregated_curve_over_sample_idx,100,14,15,0.663406,0.518534,0.000133,0.000133,0.000133,0.978213,1.078173,1.14652,1.272473,1.27234,1.07804,0.781625,0.484805,0.403385,1.134719,0.40917,0.393642,0.41695,1.26695,0.916846,0.842634,0.79867,2.41042
low,client,delay_ms,aggregated_curve_over_sample_idx,100,14,15,4.450934,3.441934,0.0,0.0,0.0,5.79413,7.38702,8.01538,8.22138,8.22138,7.38702,0.773306,1.031573,0.949643,4.02763,0.98253,1.039888,0.88995,7.74935,1.87485,1.794715,1.74288,8.304
low,boundary,offset_ms,aggregated_curve_over_sample_idx,101,1,15,0.177559,0.136325,0.0,0.0,0.085907,0.150353,0.29092,0.38214,0.45874,0.45874,0.205013,0.767772,0.207672,0.233902,0.84674,0.161718,0.129287,0.12375,0.45045,0.300696,0.215642,0.32886,0.74866
low,boundary,jitter_ms,aggregated_curve_over_sample_idx,101,1,15,0.323728,0.19905,0.0,0.000173,0.27984,0.377447,0.493647,0.52498,0.556843,0.556843,0.213807,0.614868,0.318879,0.229765,0.816908,0.157534,0.11554,0.1687,0.4087,0.513405,0.372618,0.57118,1.19866
low,boundary,delay_ms,aggregated_curve_over_sample_idx,101,1,15,0.884798,0.582876,0.0,0.0,0.633453,0.765113,1.38024,1.7034,1.788793,1.788793,0.746787,0.658768,0.463027,0.46159,1.664078,0.373594,0.310879,0.3635,1.2871,0.782434,0.547638,0.7462,1.75212
