scenario,role,metric,source,n_runs_total,n_total_rows,n_valid,mean,std,min,q10,q25,median,q75,q90,max,range,iqr,cv
low,client,offset_ms,all_raw_samples_across_runs,15,1499,1499,-1.622915,1.42833,-5.8876,-3.1747,-2.77525,-2.1887,0.0,0.0,1.6615,7.5491,2.77525,-0.880102
low,client,jitter_ms,all_raw_samples_across_runs,15,1499,1499,0.663302,0.797926,0.0,0.0001,0.0002,0.5344,0.867,1.5684,4.0164,4.0164,0.8668,1.20296
low,client,delay_ms,all_raw_samples_across_runs,15,1499,1499,4.449964,3.683942,0.0,0.0,0.0,5.8536,7.2246,8.4476,16.2822,16.2822,7.2246,0.827859
low,boundary,offset_ms,all_raw_samples_across_runs,15,1500,1500,0.177717,0.332214,-0.3812,0.0,0.0,0.0945,0.2704,0.4142,3.4453,3.8265,0.2704,1.869344
low,boundary,jitter_ms,all_raw_samples_across_runs,15,1500,1500,0.323733,0.429743,0.0,0.0002,0.0245,0.2458,0.3633,0.729,3.3561,3.3561,0.3388,1.327459
low,boundary,delay_ms,all_raw_samples_across_runs,15,1500,1500,0.887319,0.860546,0.0,0.0,0.3164,0.7188,1.297,1.743,7.6007,7.6007,0.9806,0.969827
