role,scenario,metric,source_file,n_samples_aggregated,central_n_valid,central_mean,central_std,central_min,central_q25,central_median,central_q75,central_max,central_iqr,central_abs_mean,central_abs_q95,central_abs_max,iqr_width_n_valid,iqr_width_mean,iqr_width_std,iqr_width_min,iqr_width_q25,iqr_width_median,iqr_width_q75,iqr_width_max,iqr_width_iqr,p10p90_width_n_valid,p10p90_width_mean,p10p90_width_std,p10p90_width_min,p10p90_width_q25,p10p90_width_median,p10p90_width_q75,p10p90_width_max,p10p90_width_iqr,ci95_width_n_valid,ci95_width_mean,ci95_width_std,ci95_width_min,ci95_width_q25,ci95_width_median,ci95_width_q75,ci95_width_max,ci95_width_iqr,n_runs_n_valid,n_runs_mean,n_runs_std,n_runs_min,n_runs_q25,n_runs_median,n_runs_q75,n_runs_max,n_runs_iqr
client,low,rms_ns,rms_ns_aggregated.csv,121,121,406676.248045,144644.302136,203786.0,302507.133333,378087.733333,493237.266667,1180728.888889,190730.133333,,,,121,298292.801653,211320.618765,93016.0,188028.0,267812.0,350677.5,2163623.0,162649.5,121,717326.432231,408309.417404,188104.8,465782.2,664843.8,828231.6,3107548.6,362449.4,121,554474.59418,380006.906504,105571.826641,288547.425394,417956.395906,722259.760495,2180712.273297,433712.335101,121,14.206612,2.186768,3.0,15.0,15.0,15.0,15.0,0.0
client,low,path_delay_ns,path_delay_ns_aggregated.csv,121,121,606822.411551,44445.732667,517722.066667,575754.222222,602492.142857,638564.666667,754947.8,62810.444444,,,,121,145267.161157,40853.655529,31578.0,117734.5,143695.0,170190.0,267624.5,52455.5,121,310326.213223,92900.675191,145657.8,240979.4,311814.2,364461.6,620033.0,123482.2,121,198267.257344,75091.321887,77643.430592,156761.882563,190054.713947,227566.543325,657912.656453,70804.660762,121,14.157025,2.217387,3.0,15.0,15.0,15.0,15.0,0.0
boundary,low,offset_ns,offset_ns_aggregated.csv,275,275,87809.171152,267281.020862,-465235.0,-82419.533333,45374.533333,196694.1,1393703.8,279113.633333,189094.054788,571014.573333,1393703.8,275,449821.603636,270430.941175,0.0,296247.5,430110.5,567150.0,1731871.5,270902.5,275,1017672.978909,585522.969506,0.0,689592.4,948367.0,1348015.0,3809123.6,658422.6,275,711718.713242,695993.182528,0.0,391952.057371,563462.192412,807602.101838,6065703.549291,415650.044466,275,13.501818,4.266124,1.0,15.0,15.0,15.0,15.0,0.0
boundary,low,path_delay_ns,path_delay_ns_aggregated.csv,275,275,697226.872061,61026.991782,466694.0,668902.166667,705400.8,732917.7,859254.4,64015.533333,,,,275,220271.533636,93680.402616,0.0,187113.75,238845.5,276057.25,459134.5,88943.5,275,426439.490182,181130.932717,0.0,374778.7,434238.8,530807.8,1129352.2,156029.1,275,233365.911784,111840.161686,0.0,191688.932879,240511.630662,279092.003414,954030.01,87403.070535,275,13.501818,4.266124,1.0,15.0,15.0,15.0,15.0,0.0
