scenario,section,source_name,metric,source,n_points_curve,n_runs_min,n_runs_max,curve_mean_of_mean,curve_std_of_mean,curve_min_of_mean,curve_q10_of_mean,curve_q25_of_mean,curve_median_of_mean,curve_q75_of_mean,curve_q90_of_mean,curve_max_of_mean,curve_range_of_mean,curve_iqr_of_mean,curve_cv_of_mean,curve_mean_of_std,curve_std_of_std,curve_max_of_std,curve_mean_iqr_width,curve_std_iqr_width,curve_median_iqr_width,curve_max_iqr_width,curve_mean_p10p90_width,curve_std_p10p90_width,curve_median_p10p90_width,curve_max_p10p90_width
medium,sourcestats,servergm,offset_us,aggregated_curve_over_sample_idx,20,15,15,-2.64176,2.390228,-8.6594,-5.614373,-3.604817,-1.686367,-0.803067,-0.538867,-0.272267,8.387133,2.80175,-0.904786,7.039118,5.962512,19.521534,1.803775,2.790297,0.6765,10.9775,6.26566,7.331066,3.8936,31.802
medium,sourcestats,servergm,stddev_us,aggregated_curve_over_sample_idx,20,15,15,140.89876,14.77354,121.333333,123.02,127.283333,140.866667,150.216667,161.02,165.108533,43.7752,22.933333,0.104852,76.842468,16.547237,117.833094,100.0,34.426122,105.25,173.5,178.74,32.471014,181.9,245.6
