scenario,section,metric,source,n_points_curve,n_runs_min,n_runs_max,curve_mean_of_mean,curve_std_of_mean,curve_min_of_mean,curve_q10_of_mean,curve_q25_of_mean,curve_median_of_mean,curve_q75_of_mean,curve_q90_of_mean,curve_max_of_mean,curve_range_of_mean,curve_iqr_of_mean,curve_cv_of_mean,curve_mean_of_std,curve_std_of_std,curve_max_of_std,curve_mean_iqr_width,curve_std_iqr_width,curve_median_iqr_width,curve_max_iqr_width,curve_mean_p10p90_width,curve_std_p10p90_width,curve_median_p10p90_width,curve_max_p10p90_width
medium,tracking,system_time_us,aggregated_curve_over_sample_idx,20,15,15,-30.407893,10.530691,-46.761533,-43.088227,-38.88255,-29.9969,-24.1781,-15.581393,-13.465,33.296533,14.70445,-0.346314,38.89282,13.790246,80.641581,39.1288,11.155487,37.7295,63.4715,78.51979,26.21915,71.7628,125.9034
medium,tracking,last_offset_us,aggregated_curve_over_sample_idx,20,15,15,-41.679007,16.661683,-87.059867,-57.558247,-48.158433,-42.581067,-29.6589,-25.84918,-12.390267,74.6696,18.499533,-0.399762,68.181342,26.790201,121.796918,56.252075,33.363877,39.77325,159.329,128.84577,52.357281,123.6145,220.8818
