t_s,hhmmss,type,detail,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
46623.0,12:57:03,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0,0,0,low,run03,boundary
46638.0,12:57:18,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,15.0,15,1,low,run03,boundary
46653.0,12:57:33,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,30.0,30,2,low,run03,boundary
46668.0,12:57:48,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,45.0,45,3,low,run03,boundary
46683.0,12:58:03,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,60.0,60,4,low,run03,boundary
46698.0,12:58:18,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,75.0,75,5,low,run03,boundary
46713.0,12:58:33,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,90.0,90,6,low,run03,boundary
46728.0,12:58:48,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,105.0,105,7,low,run03,boundary
46743.0,12:59:03,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,120.0,120,8,low,run03,boundary
46758.0,12:59:18,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,135.0,135,9,low,run03,boundary
46773.0,12:59:33,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,150.0,150,10,low,run03,boundary
46788.0,12:59:48,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,165.0,165,11,low,run03,boundary
46803.0,13:00:03,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,180.0,180,12,low,run03,boundary
46818.0,13:00:18,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,195.0,195,13,low,run03,boundary
46833.0,13:00:33,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,210.0,210,14,low,run03,boundary
46849.0,13:00:49,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,226.0,226,15,low,run03,boundary
46864.0,13:01:04,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,241.0,241,16,low,run03,boundary
46879.0,13:01:19,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,256.0,256,17,low,run03,boundary
46894.0,13:01:34,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,271.0,271,18,low,run03,boundary
46909.0,13:01:49,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,286.0,286,19,low,run03,boundary
46924.0,13:02:04,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,301.0,301,20,low,run03,boundary
47120.0,13:05:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    8   64   17   1.4437   0.2186   1.3180,497.0,497,21,low,run03,boundary
47152.0,13:05:52,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   23   64   17   1.4437   0.2186   1.3180,529.0,529,22,low,run03,boundary
47167.0,13:06:07,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   38   64   17   1.4437   0.2186   1.3180,544.0,544,23,low,run03,boundary
47182.0,13:06:22,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   53   64   17   1.4437   0.2186   1.3180,559.0,559,24,low,run03,boundary
47197.0,13:06:37,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    3   64   37   1.1306   0.1590   1.1731,574.0,574,25,low,run03,boundary
47212.0,13:06:52,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   18   64   37   1.1306   0.1590   1.1731,589.0,589,26,low,run03,boundary
47227.0,13:07:07,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   33   64   37   1.1306   0.1590   1.1731,604.0,604,27,low,run03,boundary
47243.0,13:07:23,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   48   64   37   1.1306   0.1590   1.1731,620.0,620,28,low,run03,boundary
47258.0,13:07:38,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   63   64   37   1.1306   0.1590   1.1731,635.0,635,29,low,run03,boundary
47273.0,13:07:53,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   14   64   77   0.3943   0.0120   1.1289,650.0,650,30,low,run03,boundary
47288.0,13:08:08,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   30   64   77   0.3943   0.0120   1.1289,665.0,665,31,low,run03,boundary
47303.0,13:08:23,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   45   64   77   0.3943   0.0120   1.1289,680.0,680,32,low,run03,boundary
