sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T10:08:17+00:00,1775383697.0,0.0,0,-2.6856e-05,-26.855999999999998,-2.8566e-05,-28.566,low,run12
1,2026-04-05T10:09:18+00:00,1775383758.0,61.0,61,-1.8986e-05,-18.986,-2.8566e-05,-28.566,low,run12
2,2026-04-05T10:10:20+00:00,1775383820.0,123.0,123,-1.1118e-05,-11.117999999999999,-2.8566e-05,-28.566,low,run12
3,2026-04-05T10:11:21+00:00,1775383881.0,184.0,184,-8.622e-06,-8.622,-6.79e-07,-0.6789999999999999,low,run12
4,2026-04-05T10:12:23+00:00,1775383943.0,246.0,246,-8.266e-06,-8.266,-6.79e-07,-0.6789999999999999,low,run12
5,2026-04-05T10:13:24+00:00,1775384004.0,307.0,307,-7.91e-06,-7.91,-6.79e-07,-0.6789999999999999,low,run12
6,2026-04-05T10:14:26+00:00,1775384066.0,369.0,369,-7.554e-06,-7.554,-6.79e-07,-0.6789999999999999,low,run12
7,2026-04-05T10:15:27+00:00,1775384127.0,430.0,430,-8.5662e-05,-85.66199999999999,-8.352e-05,-83.52,low,run12
8,2026-04-05T10:16:29+00:00,1775384189.0,492.0,492,-7.2959e-05,-72.959,-8.352e-05,-83.52,low,run12
9,2026-04-05T10:17:30+00:00,1775384250.0,553.0,553,-6.0256e-05,-60.256,-8.352e-05,-83.52,low,run12
