sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T10:08:17+00:00,1775383697.0,0.0,0,servergm,-2.1300000000000001e-07,-0.21300000000000002,5.3e-05,53.0,low,run12
1,2026-04-05T10:09:18+00:00,1775383758.0,61.0,61,servergm,-1.723e-06,-1.723,5.3e-05,53.0,low,run12
2,2026-04-05T10:10:20+00:00,1775383820.0,123.0,123,servergm,-3.2330000000000002e-06,-3.233,5.3e-05,53.0,low,run12
3,2026-04-05T10:11:21+00:00,1775383881.0,184.0,184,servergm,-3.6000000000000005e-08,-0.036000000000000004,5.3e-05,53.0,low,run12
4,2026-04-05T10:12:23+00:00,1775383943.0,246.0,246,servergm,-9.400000000000001e-08,-0.09400000000000001,5.3e-05,53.0,low,run12
5,2026-04-05T10:13:24+00:00,1775384004.0,307.0,307,servergm,-1.5100000000000002e-07,-0.15100000000000002,5.3e-05,53.0,low,run12
6,2026-04-05T10:14:26+00:00,1775384066.0,369.0,369,servergm,-2.08e-07,-0.20800000000000002,5.3e-05,53.0,low,run12
7,2026-04-05T10:15:27+00:00,1775384127.0,430.0,430,servergm,-7.71e-07,-0.771,5.6e-05,56.0,low,run12
8,2026-04-05T10:16:29+00:00,1775384189.0,492.0,492,servergm,-2.599e-06,-2.599,5.6e-05,56.0,low,run12
9,2026-04-05T10:17:30+00:00,1775384250.0,553.0,553,servergm,-4.428000000000001e-06,-4.428000000000001,5.6e-05,56.0,low,run12
