sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T17:59:12+00:00,1775411952.0,0.0,0,-2.9747e-05,-29.747,-1.8619e-05,-18.619,low,run02
1,2026-04-05T18:00:14+00:00,1775412014.0,62.0,62,-1.5431e-05,-15.431,-2.132e-06,-2.132,low,run02
2,2026-04-05T18:01:15+00:00,1775412075.0,123.0,123,-5.5817e-05,-55.817,-3.2445e-05,-32.445,low,run02
3,2026-04-05T18:02:17+00:00,1775412137.0,185.0,185,-0.000115546,-115.54599999999999,-0.000121912,-121.91199999999999,low,run02
4,2026-04-05T18:03:18+00:00,1775412198.0,246.0,246,-3.6827e-05,-36.827,-2.3574e-05,-23.574,low,run02
5,2026-04-05T18:04:20+00:00,1775412260.0,308.0,308,-3.2e-05,-32.0,-1.2863e-05,-12.863,low,run02
6,2026-04-05T18:05:21+00:00,1775412321.0,369.0,369,-1.2831e-05,-12.831,-1.6546e-05,-16.546,low,run02
7,2026-04-05T18:06:23+00:00,1775412383.0,431.0,431,3.0237e-05,30.237,1.7297e-05,17.297,low,run02
8,2026-04-05T18:07:24+00:00,1775412444.0,492.0,492,1.7247e-05,17.247,2.6114e-05,26.114,low,run02
9,2026-04-05T18:08:26+00:00,1775412506.0,554.0,554,1.8602e-05,18.602,1.1571e-05,11.571,low,run02
10,2026-04-05T18:09:27+00:00,1775412567.0,615.0,615,8.909e-06,8.909,1.508e-06,1.508,low,run02
11,2026-04-05T18:10:29+00:00,1775412629.0,677.0,677,-8.11e-07,-0.811,8.79e-07,0.879,low,run02
12,2026-04-05T18:11:30+00:00,1775412690.0,738.0,738,5.465e-06,5.465,2.178e-06,2.178,low,run02
13,2026-04-05T18:12:32+00:00,1775412752.0,800.0,800,-1.4256e-05,-14.256,-1.4357e-05,-14.357,low,run02
14,2026-04-05T18:13:33+00:00,1775412813.0,861.0,861,-6e-07,-0.6,-1.0748e-05,-10.748,low,run02
15,2026-04-05T18:14:35+00:00,1775412875.0,923.0,923,4.169e-06,4.1690000000000005,7.525e-06,7.525,low,run02
16,2026-04-05T18:15:36+00:00,1775412936.0,984.0,984,4.811e-06,4.811,2.029e-06,2.029,low,run02
17,2026-04-05T18:16:38+00:00,1775412998.0,1046.0,1046,-4.064e-06,-4.064,-2.28e-07,-0.228,low,run02
18,2026-04-05T18:17:39+00:00,1775413059.0,1107.0,1107,-1.2467e-05,-12.466999999999999,-1.2957e-05,-12.956999999999999,low,run02
19,2026-04-05T18:18:41+00:00,1775413121.0,1169.0,1169,-1.5812e-05,-15.812000000000001,-2.027e-06,-2.0269999999999997,low,run02
