sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-06T07:40:28+00:00,1775461228.0,0.0,0,servergm,3.0000000000000004e-09,0.0030000000000000005,8.999999999999999e-05,89.99999999999999,high,run07
1,2026-04-06T07:41:29+00:00,1775461289.0,61.0,61,servergm,-4e-09,-0.004,9.2e-05,92.0,high,run07
2,2026-04-06T07:42:30+00:00,1775461350.0,122.0,122,servergm,-5e-09,-0.005,9.8e-05,98.0,high,run07
3,2026-04-06T07:43:32+00:00,1775461412.0,184.0,184,servergm,-1.5000000000000002e-08,-0.015000000000000001,0.000122,122.0,high,run07
4,2026-04-06T07:44:33+00:00,1775461473.0,245.0,245,servergm,-3.1e-08,-0.031,7e-05,70.0,high,run07
5,2026-04-06T07:45:34+00:00,1775461534.0,306.0,306,servergm,-6.300000000000001e-08,-0.06300000000000001,5.6e-05,56.0,high,run07
6,2026-04-06T07:46:36+00:00,1775461596.0,368.0,368,servergm,-3.96e-07,-0.396,6.8e-05,68.0,high,run07
7,2026-04-06T07:47:38+00:00,1775461658.0,430.0,430,servergm,-4.3e-08,-0.043000000000000003,0.000145,145.0,high,run07
8,2026-04-06T07:48:45+00:00,1775461725.0,497.0,497,servergm,-6.57e-07,-0.657,0.000169,169.0,high,run07
9,2026-04-06T07:49:52+00:00,1775461792.0,564.0,564,servergm,-2.2000000000000002e-08,-0.022000000000000002,0.00010999999999999999,109.99999999999999,high,run07
10,2026-04-06T07:50:58+00:00,1775461858.0,630.0,630,servergm,-4e-09,-0.004,0.000128,128.0,high,run07
11,2026-04-06T07:52:05+00:00,1775461925.0,697.0,697,servergm,-3.3e-07,-0.33,0.000143,143.0,high,run07
12,2026-04-06T07:53:12+00:00,1775461992.0,764.0,764,servergm,-1.4999999999999999e-05,-14.999999999999998,7.999999999999999e-05,80.0,high,run07
13,2026-04-06T07:54:19+00:00,1775462059.0,831.0,831,servergm,-3.03e-07,-0.303,0.000104,104.0,high,run07
14,2026-04-06T07:55:26+00:00,1775462126.0,898.0,898,servergm,-1.4e-05,-14.0,0.00010499999999999999,104.99999999999999,high,run07
15,2026-04-06T07:56:31+00:00,1775462191.0,963.0,963,servergm,-6.1690000000000006e-06,-6.1690000000000005,9.7e-05,97.0,high,run07
16,2026-04-06T07:57:37+00:00,1775462257.0,1029.0,1029,servergm,2.8000000000000003e-08,0.028000000000000004,9.499999999999999e-05,94.99999999999999,high,run07
17,2026-04-06T07:58:43+00:00,1775462323.0,1095.0,1095,servergm,-7.241000000000001e-06,-7.2410000000000005,7.599999999999999e-05,75.99999999999999,high,run07
18,2026-04-06T07:59:50+00:00,1775462390.0,1162.0,1162,servergm,1.11e-07,0.111,8.099999999999999e-05,80.99999999999999,high,run07
19,2026-04-06T08:00:56+00:00,1775462456.0,1228.0,1228,servergm,-1.8e-05,-18.0,9.6e-05,96.0,high,run07
