sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T19:32:34+00:00,1775417554.0,0.0,0,3e-09,0.003,2.672e-06,2.672,low,run06
1,2026-04-05T19:33:36+00:00,1775417616.0,62.0,62,-6.607e-06,-6.606999999999999,-3.148e-06,-3.148,low,run06
2,2026-04-05T19:34:37+00:00,1775417677.0,123.0,123,-1.847e-06,-1.847,1.15e-07,0.11499999999999999,low,run06
3,2026-04-05T19:35:39+00:00,1775417739.0,185.0,185,-1.4684e-05,-14.684000000000001,-2.5882e-05,-25.882,low,run06
4,2026-04-05T19:36:40+00:00,1775417800.0,246.0,246,-2.8159e-05,-28.159,8.309e-06,8.309,low,run06
5,2026-04-05T19:37:42+00:00,1775417862.0,308.0,308,-4.894e-06,-4.894,-2.184e-06,-2.184,low,run06
6,2026-04-05T19:38:43+00:00,1775417923.0,369.0,369,-6.794e-06,-6.794,-2.687e-06,-2.687,low,run06
7,2026-04-05T19:39:45+00:00,1775417985.0,431.0,431,-5.782e-06,-5.782,2.659e-06,2.659,low,run06
8,2026-04-05T19:40:46+00:00,1775418046.0,492.0,492,-3.585e-06,-3.585,-1.732e-06,-1.7320000000000002,low,run06
9,2026-04-05T19:41:48+00:00,1775418108.0,554.0,554,-1.8685e-05,-18.685000000000002,-2.3762e-05,-23.762,low,run06
10,2026-04-05T19:42:49+00:00,1775418169.0,615.0,615,-1.499e-06,-1.4989999999999999,3.033e-06,3.033,low,run06
11,2026-04-05T19:43:51+00:00,1775418231.0,677.0,677,-9.992e-06,-9.992,-1.9314e-05,-19.314,low,run06
12,2026-04-05T19:44:52+00:00,1775418292.0,738.0,738,-4.934e-06,-4.933999999999999,-5.692e-06,-5.692,low,run06
13,2026-04-05T19:45:54+00:00,1775418354.0,800.0,800,5e-08,0.049999999999999996,-0.000119964,-119.964,low,run06
14,2026-04-05T19:46:55+00:00,1775418415.0,861.0,861,-6.23e-06,-6.2299999999999995,-1.444e-05,-14.440000000000001,low,run06
15,2026-04-05T19:47:57+00:00,1775418477.0,923.0,923,-7.571e-05,-75.71000000000001,-8.4568e-05,-84.568,low,run06
16,2026-04-05T19:48:58+00:00,1775418538.0,984.0,984,-5.1521e-05,-51.520999999999994,-4.0358e-05,-40.358000000000004,low,run06
17,2026-04-05T19:50:00+00:00,1775418600.0,1046.0,1046,-2.777e-05,-27.77,-2.033e-05,-20.330000000000002,low,run06
18,2026-04-05T19:51:01+00:00,1775418661.0,1107.0,1107,-2.3601e-05,-23.601,-7.118e-06,-7.118,low,run06
19,2026-04-05T19:52:03+00:00,1775418723.0,1169.0,1169,-2.628e-05,-26.279999999999998,-1.3128e-05,-13.128,low,run06
