sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-06T00:59:35+00:00,1775437175.0,0.0,0,servergm,-2.4700000000000003e-07,-0.24700000000000003,0.000193,193.0,medium,run05
1,2026-04-06T01:00:36+00:00,1775437236.0,61.0,61,servergm,-5e-09,-0.005,0.000179,179.0,medium,run05
2,2026-04-06T01:01:38+00:00,1775437298.0,123.0,123,servergm,-3.0000000000000004e-08,-0.030000000000000002,0.00016099999999999998,160.99999999999997,medium,run05
3,2026-04-06T01:02:39+00:00,1775437359.0,184.0,184,servergm,-3.6300000000000004e-06,-3.6300000000000003,0.00015099999999999998,150.99999999999997,medium,run05
4,2026-04-06T01:03:41+00:00,1775437421.0,246.0,246,servergm,-2.01e-07,-0.201,0.000247,247.0,medium,run05
5,2026-04-06T01:04:42+00:00,1775437482.0,307.0,307,servergm,-8.281e-06,-8.281,0.000285,285.0,medium,run05
6,2026-04-06T01:05:44+00:00,1775437544.0,369.0,369,servergm,-1.1e-05,-11.0,0.00033099999999999997,330.99999999999994,medium,run05
7,2026-04-06T01:06:45+00:00,1775437605.0,430.0,430,servergm,-1.4e-05,-14.0,0.000307,307.0,medium,run05
8,2026-04-06T01:07:47+00:00,1775437667.0,492.0,492,servergm,-1.7660000000000001e-06,-1.766,0.000196,196.0,medium,run05
9,2026-04-06T01:08:48+00:00,1775437728.0,553.0,553,servergm,-5.5e-08,-0.055,0.000127,127.0,medium,run05
10,2026-04-06T01:09:50+00:00,1775437790.0,615.0,615,servergm,-3.0500000000000004e-07,-0.30500000000000005,4.7e-05,47.0,medium,run05
11,2026-04-06T01:10:52+00:00,1775437852.0,677.0,677,servergm,-2.5070000000000003e-06,-2.507,0.00027,270.0,medium,run05
12,2026-04-06T01:11:53+00:00,1775437913.0,738.0,738,servergm,-9.409000000000001e-06,-9.409,0.00023799999999999998,237.99999999999997,medium,run05
13,2026-04-06T01:12:55+00:00,1775437975.0,800.0,800,servergm,-3.1e-05,-31.0,9.999999999999999e-05,99.99999999999999,medium,run05
14,2026-04-06T01:13:56+00:00,1775438036.0,861.0,861,servergm,-2.03e-07,-0.203,6.599999999999999e-05,65.99999999999999,medium,run05
15,2026-04-06T01:14:58+00:00,1775438098.0,923.0,923,servergm,-1.1900000000000001e-07,-0.11900000000000001,0.000146,146.0,medium,run05
16,2026-04-06T01:15:59+00:00,1775438159.0,984.0,984,servergm,-8e-09,-0.008,9.6e-05,96.0,medium,run05
17,2026-04-06T01:17:01+00:00,1775438221.0,1046.0,1046,servergm,6.000000000000001e-09,0.006000000000000001,0.000155,155.0,medium,run05
18,2026-04-06T01:18:02+00:00,1775438282.0,1107.0,1107,servergm,9.000000000000001e-08,0.09000000000000001,0.000155,155.0,medium,run05
19,2026-04-06T01:19:04+00:00,1775438344.0,1169.0,1169,servergm,1.4000000000000001e-08,0.014000000000000002,0.000159,159.0,medium,run05
