sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-06T00:59:35+00:00,1775437175.0,0.0,0,-3.7349e-05,-37.349,-2.0752e-05,-20.752,medium,run05
1,2026-04-06T01:00:36+00:00,1775437236.0,61.0,61,-1.8598e-05,-18.598,-1.1711e-05,-11.711,medium,run05
2,2026-04-06T01:01:38+00:00,1775437298.0,123.0,123,-1.6029e-05,-16.029,-7.889e-06,-7.889,medium,run05
3,2026-04-06T01:02:39+00:00,1775437359.0,184.0,184,-7.0494e-05,-70.494,-8.1767e-05,-81.76700000000001,medium,run05
4,2026-04-06T01:03:41+00:00,1775437421.0,246.0,246,-4.9907e-05,-49.907000000000004,-1.967e-05,-19.669999999999998,medium,run05
5,2026-04-06T01:04:42+00:00,1775437482.0,307.0,307,-0.00013254,-132.54,-0.000192974,-192.974,medium,run05
6,2026-04-06T01:05:44+00:00,1775437544.0,369.0,369,-0.000137254,-137.25400000000002,-0.000175084,-175.084,medium,run05
7,2026-04-06T01:06:45+00:00,1775437605.0,430.0,430,-0.000135091,-135.091,-0.000215936,-215.93599999999998,medium,run05
8,2026-04-06T01:07:47+00:00,1775437667.0,492.0,492,-4.6172e-05,-46.172,-6.3994e-05,-63.994,medium,run05
9,2026-04-06T01:08:48+00:00,1775437728.0,553.0,553,-3.7035e-05,-37.035000000000004,-0.000164166,-164.16600000000003,medium,run05
10,2026-04-06T01:09:50+00:00,1775437790.0,615.0,615,-1.774e-05,-17.74,-1.8362e-05,-18.362000000000002,medium,run05
11,2026-04-06T01:10:52+00:00,1775437852.0,677.0,677,-1.22e-07,-0.12200000000000001,4.8949e-05,48.949000000000005,medium,run05
12,2026-04-06T01:11:53+00:00,1775437913.0,738.0,738,-0.000129814,-129.814,-0.000145664,-145.664,medium,run05
13,2026-04-06T01:12:55+00:00,1775437975.0,800.0,800,-1.675e-06,-1.675,-0.000171857,-171.857,medium,run05
14,2026-04-06T01:13:56+00:00,1775438036.0,861.0,861,-2.8464e-05,-28.464000000000002,-0.000141261,-141.261,medium,run05
15,2026-04-06T01:14:58+00:00,1775438098.0,923.0,923,-4.6337e-05,-46.337,-7.001e-05,-70.01,medium,run05
16,2026-04-06T01:15:59+00:00,1775438159.0,984.0,984,7.019e-05,70.19,4.5613e-05,45.613,medium,run05
17,2026-04-06T01:17:01+00:00,1775438221.0,1046.0,1046,9.602e-06,9.602,1.438e-06,1.438,medium,run05
18,2026-04-06T01:18:02+00:00,1775438282.0,1107.0,1107,3.2423e-05,32.422999999999995,2.1416e-05,21.416,medium,run05
19,2026-04-06T01:19:04+00:00,1775438344.0,1169.0,1169,-4.228e-06,-4.228,2.525e-06,2.525,medium,run05
