role,scenario,metric,source_file,n_samples_aggregated,central_n_valid,central_mean,central_std,central_min,central_q25,central_median,central_q75,central_max,central_iqr,central_abs_mean,central_abs_q95,central_abs_max,iqr_width_n_valid,iqr_width_mean,iqr_width_std,iqr_width_min,iqr_width_q25,iqr_width_median,iqr_width_q75,iqr_width_max,iqr_width_iqr,p10p90_width_n_valid,p10p90_width_mean,p10p90_width_std,p10p90_width_min,p10p90_width_q25,p10p90_width_median,p10p90_width_q75,p10p90_width_max,p10p90_width_iqr,ci95_width_n_valid,ci95_width_mean,ci95_width_std,ci95_width_min,ci95_width_q25,ci95_width_median,ci95_width_q75,ci95_width_max,ci95_width_iqr,n_runs_n_valid,n_runs_mean,n_runs_std,n_runs_min,n_runs_q25,n_runs_median,n_runs_q75,n_runs_max,n_runs_iqr
boundary,high,offset_ns,offset_ns_aggregated.csv,246,246,110782.434383,244969.750959,-348888.0,-36756.016667,65086.566667,214087.233333,1643528.666667,250843.25,179499.778625,507143.283333,1643528.666667,246,499467.310976,233674.179796,0.0,342807.375,455943.75,605204.125,1823712.0,262396.75,246,1122148.238618,516919.125878,0.0,765650.4,985515.2,1366658.2,3923447.4,601007.8,246,792089.403718,607098.727301,0.0,448369.211437,601183.465481,941292.821332,4856182.077526,492923.609895,246,14.914634,0.996335,1.0,15.0,15.0,15.0,15.0,0.0
boundary,high,path_delay_ns,path_delay_ns_aggregated.csv,246,246,740415.016497,57670.566915,598877.933333,698484.233333,745989.366667,777080.516667,992024.8,78596.283333,,,,246,194412.04065,74915.755553,0.0,147330.875,179890.25,223979.0,738021.5,76648.125,246,359359.057317,120027.917769,0.0,277170.75,341047.5,420362.35,957513.8,143191.6,246,198051.190589,65641.490532,0.0,155403.524943,187955.464016,227453.783668,523778.446728,72050.258724,246,14.914634,0.996335,1.0,15.0,15.0,15.0,15.0,0.0
